Action taken,Total all,Remedial action taken by-- / Employer / Total,Remedial action taken by-- / Employer / Pursuant to-- / Agreement of parties / Informal settlement,Remedial action taken by-- / Employer / Pursuant to-- / Agreement of parties / Formal settlement,Remedial action taken by-- / Employer / Pursuant to-- / Recommendation of administrative law judge,Remedial action taken by-- / Employer / Pursuant to-- / Order of-- / Board,Remedial action taken by-- / Union / Total,Remedial action taken by-- / Union / Pursuant to-- / Agreement of parties / Informal settlement,Remedial action taken by-- / Union / Pursuant to-- / Agreement of parties / Formal settlement,Remedial action taken by-- / Union / Pursuant to-- / Recommendation of administrative law judge,Remedial action taken by-- / Union / Pursuant to-- / Order of-- / Board
Declined,692,692,643,0,5,28,16,,,,
Employees placed on preferential hiring list,342,342,342,0,0,0,0,,,,
Hiring hall rights restored,15,,,,,,,15,14,0,1
Objections to employment withdrawn,9,,,,,,,9,9,0,0
Employees receiving backpay:,,,,,,,,,,,
From either employer or union,30905,30590,29953,2,43,370,222,315,315,0,1
From both employer and union,7,6,5,0,0,0,1,1,1,0,0
"Employers reimbursed for fees, dues, and fines:",,,,,,,,,,,
From either employer or union,2646,2040,2013,0,0,26,1,606,269,0,337
From both employer and union,282,125,107,0,0,0,18,157,156,0,1
"C. By amounts of monetary recovery, total",109545919,109079433,103051329,41354,195228,1749278,4042244,466486,255580,0,180483
"Backpay (includes all monetary payments except fees, dues, and fines)",107963251,107653354,101647927,41354,195228,1734601,4030234,309897,171320,0,108154
"Fees, dues, and fines",1582668,1426079,1403402,0,0,14677,12000,156589,84260,0,72329
