row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections,4567,593,130,251,55,179,39,772,170,430,95
By type of case,,,,,,,,,,,
In RC cases,3447,493,14 1,200,5 8,153,4 5,636,106,353,10 3
In RM cases,232,27,116,14,60,6,26,33,142,20,86
In RD cases,888,83,9 3,37,42,20,2 3,103,11 6,57,64
By type of election,,,,,,,,,,,
Consent elections,145,15,103,9,62,3,2 1,18,12 4,12,8 3
Stipulated elections,3715,448,12 I,187,5 1,131,35,579,157,318,86
Expedited elections,0,0,,0,,0,,0,,0,
Regional director-directed elections,678,125,18 4,55,8 1,43,6 3,168,24 8,98,14 5
Board-directed elections,29,5,17 2,0,00,2,69,7,24 I,2,69
