row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
All representation elections.............................................,282,112,170,153,90.0,17,10.0
By type of case:,,,,,,,
RC cases................................................................,252,100,152,139,91.4,13,8.6
RMcases................................................................,1,1,0,0,0.0,0,0.0
RD cases................................................................,29,11,18,14,77.8,4,22.2
By type of election:,,,,,,,
Consent elections....................................................,0,0,0,0,0.0,0,0.0
Stipulated elections................................................,204,95,109,96,88.1,13,11.9
Expedited elections................................................,1,1,0,0,0.0,0,0.0
Regional Director-directed elections......................,77,16,61,57,93.4,4,6.6
Board-directed elections........................................,0,0,0,0,0.0,0,0.0
