row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Washington,1105,794,506,243,33,2,0,0,10,273,119,33,121,17,0,21
Oregon,458,306,243,56,2,3,1,0,1,142,83,18,41,2,0,8
California,5695,4435,2706,1324,274,38,15,2,76,1121,703,194,224,50,4,85
Alaska,302,250,150,71,25,0,0,0,4,49,34,9,6,2,0,1
Hawaii,201,161,80,71,9,0,1,0,0,35,30,1,4,3,0,2
Guam,5,3,1,2,0,0,0,0,0,2,2,0,0,0,0,0
Pacific,7766,5949,3686,1767,343,43,17,2,91,1622,971,255,396,74,4,117
Puerto Rico,383,264,202,52,2,0,0,8,0,113,96,3,14,1,0,5
Virgin Islands,21,19,17,2,0,0,0,0,0,2,1,0,1,0,0,0
Outlying areas,404,283,219,54,2,0,0,8,0,115,97,3,15,1,0,5
"Total, all States and areas",41175,32685,22545,8382,1115,280,47,28,288,7884,5623,586,1675,245,29,332
