row_label,col_1,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
RC cases,,,,,,,
"Pending October 1, 1993",2104,1847,96,161,0,,
Received fiscal 1994,4437,3920,186,331,0,,
On docket fiscal 1994,6541,5767,282,492,0,,
Closed fiscal 1994,4601,4073,200,328,0,,
"Pending September 30, 1994",1940,1694,82,164,0,,
RM cases,,,,,,,
"Pending October 1, 1993",128,,,,,128,
Received fiscal 1994,173,,,,,173,
On docket fiscal 1994,301,,,,,301,
Closed fiscal 1994,201,,,,,201,
"Pending September 30, 1994",100,,,,,100,
RD cases,,,,,,,
"Pending October 1, 1993",427,2,0,2,423,,
Received fiscal 1994,1024,0,0,0,1024,,
On docket fiscal 1994,1451,0,0,0,1447,,
Closed fiscal 1994,1000,0,0,0,1000,,
"Pending September 30, 1994",451,2,0,2,447,,
