row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Warehousing and Storage........................,59,26,6,20,0,33,2689,2666,1295,271,1024,0,1371,987
49-Transportation and Warehousing....,76,34,8,26,0,42,3306,3259,1670,400,1270,0,1589,1165
Publishing Industries (except Internet)....,12,2,1,1,0,10,602,541,203,186,17,0,338,19
Motion Picture and Sound Recording Industries..................................................,1,0,0,0,0,1,42,36,16,16,0,0,20,0
Broadcasting (except Internet)..................,18,4,2,1,1,14,775,697,256,226,0,30,441,166
Telecommunications................................,24,9,7,2,0,15,1077,1025,420,412,8,0,605,336
Other Information Services......................,6,4,3,1,0,2,343,294,170,118,52,0,124,159
Information..........................................,61,19,13,5,1,42,2839,2593,1065,958,77,30,1528,680
Monetary Authorities - Central Bank........,2,2,1,1,0,0,253,185,161,148,13,0,24,253
Credit Intermediation and Related Activities..................................................,4,3,0,3,0,1,112,99,68,0,68,0,31,66
"Funds, Trusts, and Other Financial Vehicles....................................................",4,2,0,2,0,2,59,57,35,14,21,0,22,25
Finance and Insurance..........................,10,7,1,6,0,3,424,341,264,162,102,0,77,344
Real Estate................................................,10,8,1,7,0,2,192,146,127,3,120,4,19,163
Rental and Leasing Services....................,23,9,2,7,0,14,562,417,140,27,113,0,277,145
Real Estate and Rental and Leasing....,33,17,3,14,0,16,754,563,267,30,233,4,296,308
"Professional, Scientific, and Technical Services....................................................",33,22,13,9,0,11,1051,914,597,328,269,0,317,609
Management of Companies and Enterprises................................................,6,4,3,1,0,2,305,253,125,99,26,0,128,198
Administrative and Support Services........,184,123,39,67,17,61,11766,7378,4235,1403,2275,557,3143,7901
Waste Management and Remediation Services....................................................,40,13,2,11,0,27,1551,1384,563,53,498,12,821,531
