row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Pending October 1, 1998 ……….….",27104,17211,2597,1595,5701,0
Received fiscal 1999 ……………...,21063,13312,1999,1030,4722,0
On docket fiscal 1999……………..,48167,30523,4596,2625,10423,0
Closed fiscal 1999 ………………....,22966,14350,2314,1093,5209,0
"Pending September 30, 1999 ……...",25201,16173,2282,1532,5214,0
,CB Cases 2,CB Cases 2,CB Cases 2,CB Cases 2,CB Cases 2,CB Cases 2
"Pending October 1, 1998 …………..",4339,89,1,34,3666,549
Received fiscal 1999 ……………...,5611,102,3,66,4789,651
On docket fiscal 1999……………..,9950,191,4,100,8455,1200
Closed fiscal 1999 ………………....,5848,101,2,60,4934,751
"Pending September 30, 1999 ……...",4102,90,2,40,3521,449
,CC Cases,CC Cases,CC Cases,CC Cases,CC Cases,CC Cases
"Pending October 1, 1998 …………..",410,3,2,7,0,398
Received fiscal 1999 ……………...,461,7,11,9,0,434
On docket fiscal 1999……………..,871,10,13,16,0,832
Closed fiscal 1999 ………………...,570,7,9,7,0,547
"Pending September 30, 1999 ……...",301,3,4,9,0,285
,CD Cases,CD Cases,CD Cases,CD Cases,CD Cases,CD Cases
"Pending October 1, 1998 …………..",119,5,0,2,0,112
Received fiscal 1999 ……………....,155,15,3,5,0,132
On docket fiscal 1999……………..,274,20,3,7,0,244
Closed fiscal 1999 ………………....,168,15,1,1,0,151
"Pending September 30, 1999 ……...",106,5,2,6,0,93
,CE Cases,CE Cases,CE Cases,CE Cases,CE Cases,CE Cases
"Pending October 1, 1998………….",53,1,1,1,2,48
Received fiscal 1999 ……………...,35,0,0,2,0,33
On docket fiscal 1999……………..,88,1,1,3,2,81
Closed fiscal 1999 ………………....,60,0,0,0,2,58
"Pending September 30, 1999 ……...",28,1,1,3,0,23
,CG Cases,CG Cases,CG Cases,CG Cases,CG Cases,CG Cases
"Pending October 1, 1998 …………..",19,0,0,0,0,19
Received fiscal 1999 ……………....,45,0,2,2,0,41
On docket fiscal 1999……………..,64,0,2,2,0,60
Closed fiscal 1999 ………………....,49,0,1,2,0,46
"Pending September 30, 1999 ……...",15,0,1,0,0,14
,CP Cases,CP Cases,CP Cases,CP Cases,CP Cases,CP Cases
"Pending October 1,1998…………",62,1,1,0,0,60
Received fiscal 1999……………..,80,1,1,4,0,74
On docket fiscal 1999…………….,142,2,2,4,0,134
Closed fiscal 1999………………..,80,1,1,1,0,77
"Pending September 30, 1999 ……..",62,1,1,3,0,57
