Industrial group 1,Number of elections / Total,Number of elections / In which representation rights were won by — AFL-CIO affiliates,Number of elections / In which representation rights were won by — Unaffiliated unions,Number of elections / In which no representative was chosen,Eligible voters,Valid votes cast
Total,4729,2619,323,1787,458904,410619
Manufacturing,3282,1781,234,1267,357471,322794
Manufacturing subgroups (23 SIC categories),,,,,,
Fisheries,0,0,0,0,0,0
Mining,65,39,7,19,11025,9518
Construction,55,33,3,19,2822,2569
Wholesale trade,446,253,26,167,13779,12181
Retail trade,612,246,9,357,24401,20490
"Finance, insurance, and real estate",23,11,1,11,1770,1614
"Transportation, communication, and other public utilities",351,203,33,125,43796,38930
Services,85,53,19,32,2902,2853
