row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
North Carolina..........................................,16,7,7,0,0,9,4687,4341,1911,1899,12,0,2430,1746
South Carolina..........................................,11,6,5,1,0,5,1022,832,612,198,221,193,220,755
Virginia....................................................,30,18,16,2,0,12,1657,1515,788,755,33,0,727,672
West Virginia............................................,28,9,9,0,0,19,2326,2133,826,825,1,0,1307,306
South Atlantic......................................,279,155,120,15,20,124,32969,28422,13094,11714,578,802,15328,13170
Iowa..........................................................,36,19,18,1,0,17,4794,4494,1815,1797,18,0,2679,373
Kansas......................................................,18,13,11,1,1,5,2799,2325,1208,1181,10,17,1117,2110
Minnesota..................................................,69,33,32,0,1,36,2647,2260,1134,1087,0,47,1126,1181
Missouri....................................................,50,28,24,2,2,22,1929,1685,878,734,88,56,807,918
Nebraska....................................................,13,7,7,0,0,6,484,447,249,247,0,2,198,265
North Dakota............................................,5,4,3,1,0,1,176,139,71,71,0,0,68,139
South Dakota............................................,3,0,0,0,0,3,311,288,110,110,0,0,178,0
West North Central..............................,194,104,95,5,4,90,13140,11638,5465,5227,116,122,6173,4986
Arkansas....................................................,13,4,3,1,0,9,1691,1488,636,571,65,0,852,193
Louisiana..................................................,22,12,10,2,0,10,1773,1589,817,781,36,0,772,771
Oklahoma..................................................,20,12,11,0,1,8,835,761,378,366,2,10,383,379
Texas........................................................,75,47,39,5,3,28,3042,2580,1264,1191,34,39,1316,1207
West South Central..............................,130,75,63,8,4,55,7341,6418,3095,2909,137,49,3323,2550
"Total, all States and areas....................",2675,1514,1320,89,105,1161,180489,149011,78004,66492,4131,7381,71007,86230
