row_label,Number of cases,Percent of total closed
Total number of cases closed before issuance of complaint,130,100.0
Agreement of the parties-informal settlement,45,34.6
Before 10(k) notice,40,30.8
"After 10(k) notice, before opening of 10(k) hearing",3,2.3
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",2,1.5
Compliance with Board decision and determination of dispute,3,2.3
Withdrawal,61,46.9
Before 10(k) notice,53,40.8
"After 10(k) notice, before opening of 10(k) hearing",4,3.1
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",4,3.1
After Board decision and determination of dispute,0,0.0
Dismissal,21,16.2
Before 10(k) notice,19,14.6
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",0,0.0
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",1,0.8
By Board decision and determination of dispute,1,0.8
