row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Massachusetts............................................,10,5,5,0,0,5,351,326,149,149,0,0,177,183
New Hampshire........................................,1,0,0,0,0,1,50,48,16,16,0,0,32,0
Rhode Island.............................................,4,2,2,0,0,2,271,247,135,135,0,0,112,167
Vermont....................................................,1,0,0,0,0,1,14,12,0,0,0,0,12,0
New England........................................,21,11,10,1,0,10,1001,910,492,483,9,0,418,655
Puerto Rico................................................,1,0,0,0,0,1,16,15,4,0,0,4,11,0
Virgin Islands............................................,1,0,0,0,0,1,6,6,0,0,0,0,6,0
Outlying Areas.....................................,2,0,0,0,0,2,22,21,4,0,0,4,17,0
Alaska........................................................,3,1,1,0,0,2,200,107,46,46,0,0,61,36
American Samoa.......................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California..................................................,50,17,15,1,1,33,6378,5352,2133,1823,267,43,3219,2059
Federated States of Micronesia.................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam.........................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii.......................................................,8,2,1,1,0,6,415,348,135,111,24,0,213,107
Marshall Islands........................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands..........................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon.......................................................,12,2,2,0,0,10,701,644,275,275,0,0,369,216
Palau..........................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington...............................................,17,4,4,0,0,13,857,769,381,381,0,0,388,338
Pacific..................................................,90,26,23,2,1,64,8551,7220,2970,2636,291,43,4250,2756
Delaware...................................................,4,2,2,0,0,2,725,602,307,307,0,0,295,515
District Of Columbia.................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida.......................................................,11,4,4,0,0,7,738,618,254,230,24,0,364,202
Georgia......................................................,6,3,3,0,0,3,271,252,135,135,0,0,117,220
Maryland...................................................,6,2,1,0,1,4,222,197,98,82,0,16,99,122
