row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
Total number of cases closed...............................,30390,100.0,,23444,100.0,6133,100.0,480,100.0,190,100.0,36,100.0,22,100.0,85,100.0
Agreement of the parties......................................,10923,35.9,100.0,9582,40.9,1070,17.4,204,42.5,25,13.2,6,16.7,9,40.9,27,31.8
Informal settlement.....................................,10908,35.9,99.9,9581,40.9,1059,17.3,201,41.9,25,13.2,6,16.7,9,40.9,27,31.8
Before issuance of complaint...............,8593,28.3,78.7,7484,31.9,900,14.7,155,32.3,21,11.1,5,13.9,5,22.7,23,27.1
"After issuance of complaint, before opening of hearing..........................",2132,7.0,19.5,1920,8.2,155,2.5,46,9.6,2,1.1,1,2.8,4,18.2,4,4.7
"After hearing opened, before issuance of administrative law judge's decision...........................................",183,0.6,1.7,177,0.8,4,0.1,0,0.0,2,1.1,0,0.0,0,0.0,0,0.0
Formal settlement........................................,15,0.0,0.1,1,0.0,11,0.2,3,0.6,0,0.0,0,0.0,0,0.0,0,0.0
Before opening of hearing...................,15,0.0,0.1,1,0.0,11,0.2,3,0.6,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated decision........................,4,0.0,0.0,0,0.0,1,0.0,3,0.6,0,0.0,0,0.0,0,0.0,0,0.0
Consent decree..............................,11,0.0,0.1,1,0.0,10,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
After hearing opened...........................,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated decision........................,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Consent decree..............................,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Compliance with...................................................,716,2.4,100.0,643,2.7,45,0.7,20,4.2,2,1.1,5,13.9,0,0.0,1,1.2
Administrative law judge's decision..........,6,0.0,0.8,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Board decision............................................,340,1.1,47.5,301,1.3,29,0.5,5,1.0,2,1.1,3,8.3,0,0.0,0,0.0
Adopting administrative law judge's decision (no exceptions filed)........,151,0.5,21.1,134,0.6,11,0.2,5,1.0,0,0.0,1,2.8,0,0.0,0,0.0
Contested............................................,189,0.6,26.4,167,0.7,18,0.3,0,0.0,2,1.1,2,5.6,0,0.0,0,0.0
Circuit court of appeals decree....................,369,1.2,51.5,335,1.4,16,0.3,15,3.1,0,0.0,2,5.6,0,0.0,1,1.2
Supreme Court action..................................,1,0.0,0.1,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Withdrawal...........................................................,9342,30.7,100.0,7244,30.9,1874,30.6,155,32.3,15,7.9,14,38.9,7,31.8,33,38.8
