row_label,Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Individuals,Employers
All cases (section),,,,,,,
"Pending October 1, 1981",26316,10216,3021,1140,1150,8452,2307
Received fiscal 1982,47210,14693,4780,1818,2348,19290,4281
On docket fiscal 1982,73526,24909,7801,2958,3528,27742,6588
Closed fiscal 1982,45103,14354,4659,1699,2041,18209,4141
"Pending September 30, 1982",28423,10555,3142,1259,1487,9533,2447
Unfair labor practice cases,,,,,,,
"Pending October 1, 1981",21852,8134,2183,908,855,7824,1948
Received fiscal 1982,38097,11451,3220,1324,1658,17016,3428
On docket fiscal 1982,59949,19585,5403,2232,2513,24840,5376
Closed fiscal 1982,36424,11078,3028,1216,1409,16293,3400
"Pending September 30, 1982",23525,8507,2375,1016,1104,8547,1976
Representation cases,,,,,,,
"Pending October 1, 1981",4130,1969,820,229,297,523,292
Received fiscal 1982,8276,3008,1521,468,614,1958,707
On docket fiscal 1982,12406,4977,2341,697,911,2481,999
Closed fiscal 1982,7952,3070,1595,458,569,1646,614
"Pending September 30, 1982",4454,1907,746,239,342,835,385
Union-shop deauthorization cases,,,,,,,
"Pending October 1, 1981",101,,,,,101,
Received fiscal 1982,305,,,,,305,
On docket fiscal 1982,406,,,,,406,
Closed fiscal 1982,259,,,,,259,
"Pending September 30, 1982",147,,,,,147,
Amendment of certification cases,,,,,,,
"Pending October 1, 1981",22,13,2,0,5,0,2
Received fiscal 1982,49,32,2,4,10,0,1
On docket fiscal 1982,71,45,4,4,15,0,3
Closed fiscal 1982,39,24,2,4,8,0,1
"Pending September 30, 1982",32,21,2,0,7,0,2
Unit clarification cases,,,,,,,
"Pending October 1, 1981",211,100,16,3,23,4,65
Received fiscal 1982,483,202,37,22,66,11,145
On docket fiscal 1982,694,302,53,25,89,15,210
Closed fiscal 1982,429,182,34,21,55,11,126
"Pending September 30, 1982",265,120,19,4,34,4,84
