row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Cases pending June 30, 1937",205,,31.3,86921,,40.8
"Cases received July 1, 1937, to June 30, 1938.",449,,68.7,126024,,59.2
Total cases on docket,654,,100.0,212945,,100.0
Cases closed before formal action:,,,,,,
By settlement:,45,12.0,6.9,17135,17.1,8.1
(a) Consent election (5) Recognition of representatives_,39,10.4,6.0,5284,5.3,2.3
(c) Payroll check,10,2.7,L 5,4543,45,2.1
By dismissal,107,596,16.3,39190,39.0,18.4
By withdrawal,91,24.3,13.9,18602,18.5,8.7
By transfer to other agencies,1,.3,.2,24,,
Total ceces closed before formal ac- tion_,293,78.3,44.8,84778,84.4,39.8
Cases closed after formal action:,,,,,,
By settlement: (a) Consent election (5) Recognition of representatives_,11,3.0,1.7,973,1.0,.5
(c) Payroll check.. By dismissal before Issuance of Board decision,40,10.7,8.1,3208,3.3,1.5
By withdrawal before • issuance of Board decision,3,.8,.5,3975,3.9,1.9
By certification by Board without election,10,2.7,1.5,1340,1.3,. 6
By certification by Board after elec- tion,10,2.7,1.5,2680,"2, 7",1.3
By dismissal of petition by Board without election,5,1.3,.8,2671,2.7,1.3
By dismissal of petition by Board after election,2,. 5,. 3,690,. 7,.3
Total cases closed after formal ac- tion,81,21.7,12.4,15627,15.6,7.4
"Total cases closed July 1, 1937, to June 30, 1938",374,190.0,57.2,100405,100.0,47.2
Cases pending:,,,,,,
Before hearing,231,,55.3,97910,,46.0
After hearing:,,,,,,
Awaiting decision,20,,3.1,12111,,5.6
Awaiting certification,29,,4.4,2519,,1.2
"Total cases pending June 30, 19 38- -",280,,42.8,112540,,52.8
