row_label,Total — Number,Total — Percent by type,By employer — Number,By employer — Percent by type,By union — Number,By union — Percent by type,By both parties — Number,By both parties — Percent by type
All representation elections,990,100.0,415,41.9,551,55.7,24,2.4
By type of case,,,,,,,,
RC cases,902,100.0,394,43.7,491,54.4,17,1.9
RM cases,24,100.0,4,16.7,17,70.8,3,12.5
RD cases,64,100.0,17,26.6,43,67.1,4,6.3
By type of election,,,,,,,,
Consent elections,28,100.0,8,28.6,17,60.7,3,10.7
Stipulated elections,696,100.0,286,41.1,394,56.6,16,2.3
Expedited elections,3,100.0,0,0.0,3,100.0,0,0.0
Regional director-directed elections,256,100.0,115,44.9,136,53.1,5,2.0
Board-directed elections,7,100.0,6,85.7,1,14.3,0,0.0
