Case No.,Union and company,Date petition for injunction filed,Type of petition,Temporary restraining order — Date issued,Temporary restraining order — Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
"2-CC-411, 412","Sheet Metal Workers, Local 28 (Flexible Tubing Corp. & Ware-sold Co.)","May 24, 1957",10 (l),,,"July 1, 1957",,"Sept. 24, 1957",Withdrawn.
6-CC-132,"Electrical Workers, Local 211 (Columbia Broadcasting Corp.)","May 24, 1957",10 (l),,,,,"Nov. 8, 1957",
5-CC-102,"Meatcutters, Local 22 (Gordon Foods, Inc.)","May 27, 1957",10 (l),,,"May 29, 1957",,"Nov. 12, 1957",Settled.
11-CC-30,"Plumbers, Local 8 (United Contractors & Kruse Plumbing Co.)","June 14, 1957",10 (l),,,,,"Oct. 29, 1957",(R. confidence)
2-CC-420,"Electrical Workers, Local 3 (Brewery Dry Dock Co.)","June 20, 1957",10 (l),,,"July 25, 1957",,"Feb. 25, 1958","Feb. 28, 1958"
"3-CB-50, 30-CC-29","*Teamsters, Eastern Conference of Teamsters, Local 391 Winston-Salem, N.C., and Local 462 of Newark, N.J., et al. (Holly Farms Poultry Co.)","July 3, 1957",10 (l),,,,,"Oct. 15, 1957",Withdrawn.
"13-CC-194, CD-46","Roofers, Local 11 (Fry & Sons)","July 8, 1957",10 (l),,,,,"Dec. 13, 1957","Nov. 25, 1957"
10-CC-115,"*Teamsters, Local 515 (Chattanooga Warehouse & Cold Storage Co.)","July 11, 1957",10 (l),,,"July 12, 1957",,"July 31, 1957",Settled.
4-CC-86,"*Teamsters, Local 296 (Bill-Well Real Trader Co.)","July 11, 1957",10 (l),,,"July 26, 1957",,"Jan. 8, 1958","Nov. 15, 1957"
13-CB-508,"Mine Workers, District 50, Region 42, District 50, United Mine Workers of America, Independent and Westclox Workers Local 12373, District 50, United Mine Workers of America (General Time Corp., Westclox Division)","July 11, 1957",10 (l),,,,,,
"2-CC-69, 70","*Teamsters, Local 138 (Colossal Super Markets et al.)","July 15, 1957",10 (l),,,,,"Dec. 11, 1957",Settled.
"9-CC-103, CB-353",Brewerlong Building & Construction Trades Council et al. (Howard Price Co.),"July 15, 1957",10 (l),,,"July 19, 1957",,,"Jan. 23, 1958"
14-CD-71,"*Teamsters, Local 610, and St. Louis Paper Handlers Local 16 (Wholiter Publishing Co.)","July 15, 1957",10 (l),,,,,"Aug. 1, 1957","June 4, 1958"
39-CC-37,International The Sinkers Conference and its Lodge 480 (General Metals Corp.),"July 18, 1957",10 (l),,,,,,
2-CC-432,"Engineers, Operating, Locals 30, 30A, and 30B (Zoumar & Co., Inc.)","July 22, 1957",10 (l),,,,,,"Nov. 6, 1957"
21-CC-270,"Carpenters, Local 929, et al. (Mengel Co. et al.)","July 23, 1957",10 (l),,,,,"Mar. 31, 1958","Nov. 20, 1958"
