row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Cases pending June 30, 1937",901,,19.6,184244,,33.0
"Cases received July 1, 1937, to June 30, 1938.",3692,,80.4,374709,,67.0
Total cases on docket,4593,,100.0,558953,,100.0
• Cases closed before formal action:,,,,,,
By settlement ',1793,52.5,30.0,150563,43.3,27.0
By dismissal,463,13.6,10.1,32941,9.5,5.9
By withdrawal,765,22.4,16.7,70588,20.3,12.6
By transfer to other agencies,51,L 5,1.1,7366,2.1,L 3
Total cases closed before formal action_,3072,90.0,66.9,261458,71.2,46.8
Cases closed after formal action:,,,,,,
By settlement,70,2.0,1.5,7828,2.3,L 4
By dismissal before issuance of Board decision,12,.4,. 3,3465,1.0,.6
By withdrawal before issuance of Board decision,52,1.5,1.1,10082,2.9,1.8
By transfer to other agencies,,,,,,
violation By compliance with intermediate re- port,8,.2,.2,1377,.4,.2
By issuance of decisions and orders:,,,,,,
Certification,140,4.1,3.0,49781,14.3,8.9
Compliance,17,. 5,.4,2198,.6,.4
Dismissal of complaint or petition_,43,1.3,.9,11430,3.3,2.1
Total cases closed after formal action,342,10.0,7.4,86161,24.8,15.4
"Total cases closed July 1, 1937, to June 30, 1938",3414,100.0,74.3,347619,100.0,62.2
"Cases pending June 30, 1938",1179,,25.7,211334,,37.8
