Type of election,All R elections / Total elections,All R elections / Elections conducted: Withdrawn or dismissed before election,All R elections / Elections conducted: Resulting in a rerun or runoff,All R elections / Elections conducted: Resulting in certification,All R elections / Elections conducted: Resulting in certification¹,RC elections / Total elections,RC elections / Elections conducted: Withdrawn or dismissed before election,RC elections / Elections conducted: Resulting in a rerun or runoff,RC elections / Elections conducted: Resulting in certification,RC elections / Elections conducted: Resulting in certification¹,RM elections / Total elections,RM elections / Elections conducted: Withdrawn or dismissed before election,RM elections / Elections conducted: Resulting in a rerun or runoff,RM elections / Elections conducted: Resulting in certification,RM elections / Elections conducted: Resulting in certification¹,RD elections / Total elections,RD elections / Elections conducted: Withdrawn or dismissed before election,RD elections / Elections conducted: Resulting in a rerun or runoff,RD elections / Elections conducted: Resulting in certification,RD elections / Elections conducted: Resulting in certification¹
All types,All types,3743,79,76,3,3585,3264,73,71,3120,,45,1,2,42,434,5,6,423,
Rerun required,Rerun required,0,0,63,0,0,0,0,56,0,,0,0,0,1,0,0,0,0,
Runoff required,Runoff required,0,0,16,0,0,0,0,15,0,,0,0,0,0,0,0,0,0,
Consent elections,Consent elections,17,0,0,17,0,16,0,0,16,,0,0,0,0,1,0,0,1,
Stipulated elections,Stipulated elections,3136,66,70,3,3006,2717,56,63,2598,,41,0,2,39,378,4,5,369,
Rerun required,Rerun required,0,0,54,0,0,0,0,48,0,,0,0,0,1,0,0,0,5,
Runoff required,Runoff required,0,0,16,0,0,0,0,15,0,,0,0,0,0,0,0,0,1,
Regional Director-directed,Regional Director-directed,583,18,9,0,556,524,16,8,500,,4,1,0,3,55,1,1,53,
Rerun required,Rerun required,0,0,9,0,0,0,0,8,0,,0,0,0,0,0,0,0,1,
Board-directed,Board-directed,7,1,0,0,6,7,1,0,6,,0,0,0,0,0,0,0,0,
Rerun required,Rerun required,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
Expedited-Sec. 8(b)(7)(C),Expedited-Sec. 8(b)(7)(C),0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
