Industrial group,All cases,All C (ULP cases total),All R (Representation cases total),Other (Decert/Amend/UC; not parsed)
Nonmetallic mining and quarrying,100,57,42,
Mining (total),535,407,215,
Construction,4374,3892,1214,
Wholesale trade,2319,1166,1072,
Retail trade,4711,2548,1950,
"Finance, insurance, and real estate",456,192,168,
U.S. Postal Service,1795,1259,522,
Local passenger transportation,417,303,215,
"Motor freight, warehousing, and transportation services",2746,1923,1143,
Water transportation,290,267,151,
Other transportation,215,90,55,
Communications,1006,706,247,
"Heat, light, power, water, and sanitary services",543,317,280,
"Transportation, communication, and other (total)",5126,3466,2070,
Hotels and other lodging places,430,228,184,
Personal services,176,55,47,
"Automobile repair, garages, and other miscellaneous repair services",372,164,120,
Motion pictures and other amusement and recreation services,270,272,148,
Medical and other health services,550,433,284,
Educational services,262,106,82,
Nonprofit membership organizations,162,143,150,
Miscellaneous business services,1116,604,454,
Miscellaneous repair services,169,131,84,
Legal services,60,29,16,
"Museum, art galleries, and botanical and zoological gardens",4,3,0,
Miscellaneous services,152,82,52,
Services (total),6146,3326,1710,
"Total, all industrial groups",41629,26857,17736,
