Participating unions,Total elections,Elections won by unions / Percent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO unions,Elections won by unions / Teamsters,Elections won by unions / Other national unions,Elections in which no representative chosen / Other local unions,Employees eligible to vote / Elections in which no representative chosen,Employees eligible to vote / Total,Employees eligible to vote / In elections in which won by / Total,Employees eligible to vote / In units won by / AFL-CIO unions,Employees eligible to vote / In units won by / Teamsters,Employees eligible to vote / In units won by / Other national unions,In elections in which no representative chosen / In units won by / Other local unions,In elections in which no representative chosen
AFL-CIO,207,34 8,72,72,,,,135,9175,3221,3221,,,,5954
Teamsters,131,34 4,45,,45,,,86,2992,1357,,1357,,,1635
Other national unions,6,66 7,4,,,4,,2,72,41,,,41,,31
Other local unions,12,33 3,4,,,,4,8,404,68,,,,68,336
1-union elections,356,35 1,125,72,45,4,4,231,12553,4687,3221,1357,41,68,7966
AFL-CIO v. AFL-CIO,6,100 0,6,6,,,,0,306,306,306,,,,0
AFL-CIO v. Teamsters,2,100 0,2,1,1,,,0,75,75,58,17,,,0
AFL-CIO v. national,2,100 0,2,1,,1,,0,171,171,171,,,,0
AFL-CIO v. local,1,100 0,1,1,,,,0,15,15,15,,,,0
Teamsters v. national,1,100 0,1,,1,,,0,21,21,,21,,,0
Teamsters v. local,1,100 0,1,,1,,,0,190,190,,190,,,0
Local v. local,1,100 0,1,,,,1,0,30,30,,,,30,0
2-union elections,17,94 1,16,10,3,2,1,1,799,769,476,190,32,71,30
AFL-CIO v. AFL-CIO v. local,1,100 0,1,1,,,,0,135,135,135,,,,0
3 (or more)-union elections,1,100 0,1,1,,,,0,135,135,135,,,,0
Total RM elections,374,38 0,142,83,48,6,5,232,13587,5591,3832,1547,73,139,7996
