row_label,col_1,col_2,col_3,col_4
Cases decided by United States courts of appeals,_ 131,100 0,1227,100 0
Board orders enforced in full,183,63.4,737,601
Board orders enforced with modification,18,13.7,264,21 5
Remanded to Board,1,8,24,1 9
Board orders partially enforced and partially remanded_,2,15,5,4
Board orders set aside,2 27,20.6,3 197,16 1
Cases considered by the United States Supreme Court,7,100 0,82,100 0
Board orders enforced in full,3,42.9,56,683
Board orders enforced with modification,,,11,13 4
Board orders set aside,1,14 2,7,86
Remanded to Board,,,1,12
Remanded to court of appeals,43,42.9,6,73
Board's request for remand or modification of enforcement order denied,,,1,12
