row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Board action on request ruled upon, total..............",44,41,33,1,7,0
Granted..............................................................,20,18,18,0,0,0
Denied..............................................................,19,19,12,1,6,0
Remanded........................................................,5,4,3,0,1,0
"Withdrawn after request granted, before Board review......................................................................",0,0,0,0,0,0
"Board decision after review, total..........................",6,5,4,0,1,0
Regional Directors' decisions:,,,,,,
Affirmed......................................................,2,2,1,0,1,0
Modified......................................................,1,1,1,0,0,0
Reversed......................................................,3,2,2,0,0,0
