row_label,Number of cases,Percentage of— / Total cases closed,Percentage of— / Total cases on docket,Number of workers involved,Percentage of— / Total number of workers involved in cases closed,Percentage of— / Total number of workers involved in cases on docket
"Cases pending June 30, 1937",1406,,17.1,639693,,38.9
"Cases received July 1, 1937, to June 30, 1938",6807,,82.9,1003346,,61.1
Total cases on docket,8213,,100.0,1643039,,100.0
Cases closed before issuance of complaint:,,,,,,
By settlement,2839,49.9,34.5,281241,29.7,17.1
By dismissal,1099,19.3,13.4,71113,7.6,4.4
By withdrawal,1451,25.5,17.7,240157,25.4,14.6
By transfer to other agencies,98,1.7,1.2,16214,1.7,1.0
Total cases closed before issuance of complaint,5487,96.4,66.8,609443,64.4,37.1
Cases closed after issuance of complaint:,,,,,,
By settlement before hearing,62,1.1,.8,7155,.8,.4
By settlement after hearing,59,1.0,.7,305725,32.2,18.6
By dismissal before issuance of Board decision,10,.2,.1,882,.1,.1
By withdrawal before issuance of Board decision,29,.5,.4,15301,1.6,.9
By intermediate report finding no violation,2,,,2,,
By compliance with intermediate report,12,.2,.1,1519,.2,.1
By dismissal by Board decision,4,.1,,767,,
By compliance with Board decision,29,.5,.4,5781,.6,.4
Total closed after issuance of complaint,207,3.6,2.5,337132,35.6,20.5
"Total cases closed July 1, 1937, to June 30, 1938",5694,100.0,69.3,946575,100.0,57.6
"Cases pending June 30, 1938:",,,,,,
Before hearing,1732,,21.1,453969,,27.6
After hearing:,,,,,,
Awaiting intermediate report,232,,2.8,79829,,4.9
Awaiting decision,355,,4.5,70663,,4.3
Awaiting compliance with cease and desist orders,190,,2.3,92003,,5.6
"Total cases pending June 30, 1938",2519,,30.7,696464,,42.4
