row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
Total RC and RMelections......................,111966,1630,100.0,,376,100.0,578,100.0,71,100.0,605,100.0
Under 10.............................................................,2238,358,22.0,22.0,135,35.9,117,20.2,10,14.1,96,15.9
10 to 19...............................................................,4955,321,19.7,41.7,71,18.9,112,19.4,10,14.1,128,21.2
20 to 29...............................................................,4502,189,11.6,53.3,40,10.6,65,11.2,8,11.3,76,12.6
30 to 39...............................................................,5220,139,8.5,61.8,27,7.2,54,9.3,12,16.9,46,7.6
40 to 49...............................................................,3909,84,5.2,66.9,14,3.7,34,5.9,6,8.5,30,5.0
50 to 59...............................................................,3905,66,4.0,71.0,14,3.7,19,3.3,2,2.8,31,5.1
60 to 69...............................................................,4573,65,4.0,75.0,8,2.1,24,4.2,3,4.2,30,5.0
70 to 79...............................................................,3595,47,2.9,77.9,9,2.4,20,3.5,3,4.2,15,2.5
80 to 89...............................................................,4651,54,3.3,81.2,6,1.6,21,3.6,4,5.6,23,3.8
90 to 99...............................................................,3692,40,2.5,83.6,10,2.7,13,2.2,0,0.0,17,2.8
100 to 109...........................................................,3307,33,2.0,85.6,4,1.1,17,2.9,0,0.0,12,2.0
110 to 119...........................................................,3162,28,1.7,87.4,4,1.1,8,1.4,2,2.8,14,2.3
120 to 129...........................................................,1751,17,1.0,88.4,6,1.6,7,1.2,0,0.0,4,0.7
130 to 139...........................................................,2312,16,1.0,89.4,1,0.3,4,0.7,1,1.4,10,1.7
140 to 149...........................................................,1441,10,0.6,90.0,3,0.8,2,0.3,0,0.0,5,0.8
150 to 159...........................................................,2567,15,0.9,90.9,2,0.5,7,1.2,0,0.0,6,1.0
160 to 169...........................................................,1924,12,0.7,91.7,3,0.8,6,1.0,0,0.0,3,0.5
170 to 179...........................................................,1108,6,0.4,92.0,0,0.0,3,0.5,1,1.4,2,0.3
180 to 189...........................................................,2624,14,0.9,92.9,1,0.3,6,1.0,0,0.0,7,1.2
190 to 199...........................................................,794,4,0.2,93.1,0,0.0,1,0.2,0,0.0,3,0.5
200 to 299...........................................................,12835,54,3.3,96.4,7,1.9,20,3.5,5,7.0,22,3.6
300 to 399...........................................................,6495,19,1.2,97.6,4,1.1,6,1.0,3,4.2,6,1.0
400 to 499...........................................................,3917,10,0.6,98.2,1,0.3,2,0.3,1,1.4,6,1.0
500 to 599...........................................................,6002,11,0.7,98.9,3,0.8,5,0.9,0,0.0,3,0.5
600 to 799...........................................................,5742,9,0.6,99.4,1,0.3,0,0.0,0,0.0,8,1.3
800 to 999...........................................................,2922,3,0.2,99.6,0,0.0,2,0.3,0,0.0,1,0.2
"1,000 to 1,999.....................................................",4629,4,0.2,99.9,1,0.3,2,0.3,0,0.0,1,0.2
