Case-letter and stage,Total,Identification of Filing Party — AFL-CIO unions,Identification of Filing Party — Teamsters,Identification of Filing Party — Other national unions,Identification of Filing Party — Other local unions,Identification of Filing Party — Individuals,Identification of Filing Party — Employers
"CA cases — Pending July 1, 1970",5941,3130,657,316,198,1622,18
CA cases — Received fiscal 1971,15467,6547,1850,726,431,5893,11
CA cases — On docket fiscal 1971,21408,9677,2516,1042,629,7515,29
CA cases — Closed fiscal 1971,15514,6603,1533,724,409,5920,25
"CA cases — Pending June 30, 1971",5894,3074,683,318,220,1595,4
CB cases — On docket fiscal 1971,6828,110,19,28,75,5105,1491
CB cases — Closed fiscal 1971,5363,76,10,22,52,4104,1099
CC cases — On docket fiscal 1971,2246,0,10,22,42,67,2062
CC cases — Closed fiscal 1971,1761,0,10,22,37,33,1610
CD cases — On docket fiscal 1971,906,36,0,7,8,15,821
CE cases — On docket fiscal 1971,107,0,1,1,1,5,93
CP cases — On docket fiscal 1971,551,5,2,9,12,17,506
