row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
Total RC and RMelections.................,79267,1339,100.0,,341,100.0,494,100.0,76,100.0,428,100.0
Under 10.............................................................,1982,320,23.9,23.9,129,37.8,101,20.4,7,9.2,83,19.4
10 to 19...............................................................,4002,270,20.2,44.1,66,19.4,89,18.0,15,19.7,100,23.4
20 to 29...............................................................,3879,155,11.6,55.6,39,11.4,50,10.1,10,13.2,56,13.1
30 to 39...............................................................,3112,91,6.8,62.4,24,7.0,34,6.9,4,5.3,29,6.8
40 to 49...............................................................,3980,89,6.6,69.1,18,5.3,37,7.5,7,9.2,27,6.3
50 to 59...............................................................,4107,73,5.5,74.5,12,3.5,29,5.9,10,13.2,22,5.1
60 to 69...............................................................,2826,43,3.2,77.7,12,3.5,19,3.8,3,3.9,9,2.1
70 to 79...............................................................,3362,43,3.2,81.0,3,0.9,20,4.0,2,2.6,18,4.2
80 to 89...............................................................,3082,34,2.5,83.5,3,0.9,17,3.4,2,2.6,12,2.8
90 to 99...............................................................,2057,21,1.6,85.1,4,1.2,13,2.6,2,2.6,2,0.5
100 to 109...........................................................,1655,18,1.3,86.4,5,1.5,5,1.0,1,1.3,7,1.6
110 to 119...........................................................,1733,16,1.2,87.6,2,0.6,10,2.0,1,1.3,3,0.7
120 to 129...........................................................,2563,20,1.5,89.1,5,1.5,9,1.8,0,0.0,6,1.4
130 to 139...........................................................,2222,16,1.2,90.3,1,0.3,8,1.6,1,1.3,6,1.4
140 to 149...........................................................,1630,11,0.8,91.1,2,0.6,5,1.0,0,0.0,4,0.9
150 to 159...........................................................,2053,13,1.0,92.1,2,0.6,4,0.8,1,1.3,6,1.4
160 to 169...........................................................,1164,9,0.7,92.8,3,0.9,3,0.6,1,1.3,2,0.5
170 to 179...........................................................,822,5,0.4,93.1,0,0.0,3,0.6,0,0.0,2,0.5
180 to 189...........................................................,713,4,0.3,93.4,0,0.0,3,0.6,0,0.0,1,0.2
190 to 199...........................................................,1264,6,0.4,93.9,1,0.3,2,0.4,1,1.3,2,0.5
200 to 299...........................................................,8987,43,3.2,97.1,4,1.2,17,3.4,3,3.9,19,4.4
300 to 399...........................................................,3774,12,0.9,98.0,2,0.6,4,0.8,0,0.0,6,1.4
400 to 499...........................................................,3593,8,0.6,98.6,2,0.6,3,0.6,1,1.3,2,0.5
500 to 599...........................................................,2321,7,0.5,99.1,0,0.0,4,0.8,2,2.6,1,0.2
600 to 799...........................................................,3676,6,0.4,99.6,2,0.6,2,0.4,1,1.3,1,0.2
800 to 999...........................................................,913,1,0.1,99.6,0,0.0,0,0.0,0,0.0,1,0.2
"1,000 to 1,999.....................................................",3271,4,0.3,99.9,0,0.0,2,0.4,1,1.3,1,0.2
"2,000 to 2,999.....................................................",0,0,0.0,99.9,0,0.0,0,0.0,0,0.0,0,0.0
