row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Pending October 1, 2002....................","* 19,749",14278,684,684,4033,70
Received fiscal 2003..........................,21757,14903,678,712,5418,46
On docket fiscal 2003........................,41506,29181,1362,1396,9451,116
Closed fiscal 2003..............................,23622,16361,754,762,5694,51
"Pending September 30, 2003..............",17884,12820,608,634,3757,65
,CB Cases,CB Cases,CB Cases,CB Cases,CB Cases,CB Cases
"Pending October 1, 2002....................",2623,39,5,19,2118,442
Received fiscal 2003..........................,6213,51,7,15,5477,663
On docket fiscal 2003........................,8836,90,12,34,7595,1105
Closed fiscal 2003..............................,6166,41,6,19,5387,713
"Pending September 30, 2003..............",2670,49,6,15,2208,392
,CC Cases,CC Cases,CC Cases,CC Cases,CC Cases,CC Cases
"Pending October 1, 2002....................",251,4,0,0,10,237
Received fiscal 2003..........................,464,11,0,4,17,432
On docket fiscal 2003........................,715,15,0,4,27,669
Closed fiscal 2003..............................,488,10,0,4,22,452
"Pending September 30, 2003..............",227,5,0,0,5,217
,CD Cases,CD Cases,CD Cases,CD Cases,CD Cases,CD Cases
"Pending October 1, 2002....................",81,11,0,1,2,67
Received fiscal 2003..........................,186,19,0,6,8,153
On docket fiscal 2003........................,267,30,0,7,10,220
Closed fiscal 2003..............................,197,20,0,6,8,163
"Pending September 30, 2003..............",70,10,0,1,2,57
,CE Cases,CE Cases,CE Cases,CE Cases,CE Cases,CE Cases
"Pending October 1, 2002....................",23,1,0,0,1,21
Received fiscal 2003..........................,38,6,0,4,8,20
On docket fiscal 2003........................,61,7,0,4,9,41
Closed fiscal 2003..............................,36,5,0,1,5,25
"Pending September 30, 2003..............",25,2,0,3,4,16
,CG Cases,CG Cases,CG Cases,CG Cases,CG Cases,CG Cases
"Pending October 1, 2002....................",13,0,0,0,3,10
Received fiscal 2003..........................,23,0,0,0,2,21
On docket fiscal 2003........................,36,0,0,0,5,31
Closed fiscal 2003..............................,22,0,0,0,2,20
"Pending September 30, 2003..............",14,0,0,0,3,11
,CP Cases,CP Cases,CP Cases,CP Cases,CP Cases,CP Cases
"Pending October 1, 2002....................",33,2,1,0,2,28
Received fiscal 2003..........................,100,0,0,1,7,92
On docket fiscal 2003........................,133,2,1,1,9,120
Closed fiscal 2003..............................,87,1,0,1,9,76
"Pending September 30, 2003..............",46,1,1,0,0,44
