Method and stage of disposition,Number of cases,Percent of total closed
Total number of cases closed before issuance of complaint,51,100.0
Agreement of the parties — informal settlement,24,47.1
  Before 10(k) notice,17,33.3
"  After 10(k) notice, before opening of 10(k) hearing",5,9.8
"  After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",2,3.9
  After Board decision and determination of dispute,0,0.0
Compliance with Board decision and determination of dispute,4,7.8
Withdrawal,13,25.5
  Before 10(k) notice (withdrawn),7,13.7
  After 10(k) notice (withdrawn),3,5.9
"  After opening of 10(k) hearing, before issuance of Board decision and determination of dispute (withdrawn)",2,3.9
  After Board decision and determination of dispute (withdrawn),1,2.0
Dismissal,10,19.6
  Before 10(k) notice (dismissed),4,7.8
  After 10(k) notice (dismissed),6,11.8
  After opening of 10(k) hearing (dismissed),0,0.0
  By Board decision and determination of dispute (dismissed),0,0.0
