row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
"Total, all .",6707,100.0,5358,100.0,253,100.0,1096,100.0,108,100.0
"Certification issued, total",3778,56.4,3152,58.8,80,31.6,546,498,55,50.9
After,,,,,,,,,,
Consent election,27,0.4,22,0.4,1,04,4,04,0,
Before notice of hearing,10,0.1,10,0.2,0,,0,,0,
"After notice of hearing, before hearing closed",16,02,11,0.2,1,04,4,0.4,0,
"After hearing closed, before decision",1,0.0,1,0.0,0,,0,,0,
Stipulated election,3224,48.1,2671,49.9,62,245,491,448,38,35.2
Before notice of heanng,1017,15.2,742,13.8,25,99,250,22.8,38,35.2
"After notice of hearing, before hearing closed",2180,325,1904,35.5,37,146,239,21.8,0,
"After hearing closed, before decision",27,0.4,25,0.5,0,,2,0.2,0,
Expedited election,1,0.0,0,,1,04,0,,0,
Regional Director-directed election,514,7.7,447,8.3,16,6.3,51,4.7,16,14.8
Board-directed election,12,0.2,12,0.2,0,,0,,1,0.9
"By withdrawal, total",2457,36.6,2001,37.3,113,44.7,343,31.3,46,42.6
Before notice of hearing,1312,19.6,1040,19.4,74,292,198,181,41,38.0
"After notice of hearing, before hearing closed .",999,149,830,15.5,37,146,132,12.0,3,2.8
"After hearing closed, before decision .........................",38,0.6,33,0.6,1,04,4,04,0,
After Regional Director's decision and direction of election,108,1 6,98,1.8,1,04,9,0.8,2,1.9
After Board decision and direction of &CUM,0,,0,,0,,0,,0,
"By dismissal, total",472,7.0,205,3.9,60,23.7,207,18.9,7,6.5
Before notice of hearing,268,4.0,90,1.7,31,12.3,147,13.4,6,5.6
"After notice of hearing, before bearing closed",79,1.2,29,0.5,16,,,3.1,1,0.9
"After hearing closed, before decision",3,0.0,1,,,6.3,34 2,0.2,0,
By Regional Director's decision .,119,1.8,82,0.0 1.6,0,- 5.1,24,2.2,0,
By Board decision,3,0.0,,,13,,,,,
,,,3,0.1,0,,0,,0,
