row_label,col_1,col_2,col_3
Hearings completed,88,0,83
Decisions issued after hearing,101,1,94
By Regional Directors,101,,94
By Board,,0,0
Transferred by Regional Directors for untml decision,0,0,0
Review of Regional Directors decisions:,34,0,31
Requests for review received Withdrawn before request ruled upon,,0,1
"Board action on requests ruled upon, total",23,0,22
Granted Denied,9,,9
Remanded,14,,13
"Withdrawn after request granted, before Board review",0,,0
,0,0,
"Board decision after review, total",0,0,0
Affirmed .,,,
Regional Directors' decisions:,,,
Modified,,,
