row_label,Number of cases,Percentage of— / Total cases closed,Percentage of— / Total cases on docket,Number of workers involved,Percentage of— / Total number of workers involved in cases closed,Percentage of— / Total number of workers involved in cases on docket
"Cases pending June 30, 1937",118,,17.4,6054,,26.0
"Cases received July 1, 1937, to June 30, 1938",561,,82.6,17270,,74.0
Total cases on docket,679,,100.0,23324,,100.0
Cases closed before formal action:,,,,,,
By settlement,190,34.0,28.0,10412,50.5,44.7
By dismissal,239,42.8,35.2,3805,18.5,16.3
By withdrawal,112,20.0,16.5,5972,28.9,25.6
By transfer to other agencies,7,1.3,1.0,70,.3,.3
Total cases closed before formal action,548,98.1,80.7,20259,98.2,86.9
Cases closed after formal action:,,,,,,
By settlement,7,1.3,1.0,377,1.8,1.6
By dismissal before issuance of Board decision,2,.4,.3,3,,
By withdrawal before issuance of Board decision,,,,,,
By transfer to other agencies,,,,,,
By intermediate report finding no violation,,,,,,
By compliance with intermediate report,1,.2,.2,1,,
By issuance of decisions and orders:,,,,,,
Certification,,,,,,
Compliance,,,,,,
Dismissal of complaint or petition,,,,,,
Total cases closed after formal action,10,1.9,1.5,381,1.8,1.6
"Total cases closed July 1, 1937, to June 30, 1938",558,100.0,82.2,20640,100.0,88.5
"Cases pending June 30, 1938",121,,17.8,(²)684,,11.5
