row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
"Total, all...................................................................",3466,100.0,2623,100.0,110,100.0,733,100.0,114,100.0
"Certification issued, total.......................................................",2048,59.1,1666,63.5,37,33.6,345,47.1,58,50.9
After:,,,,,,,,,,
Consent election......................................................,69,2.0,61,2.3,1,0.9,7,1.0,2,1.8
Before notice of hearing.....................................,5,0.1,5,0.2,0,0.0,0,0.0,0,0.0
"After notice of hearing, before hearing closed..",63,1.8,55,2.1,1,0.9,7,1.0,2,1.8
"After hearing closed, before decision.................",1,0.0,1,0.0,0,0.0,0,0.0,0,0.0
Stipulated election...................................................,1643,47.4,1298,49.5,32,29.1,313,42.7,44,38.6
Before notice of hearing.....................................,193,5.6,134,5.1,5,4.5,54,7.4,17,14.9
"After notice of hearing, before hearing closed...",1426,41.1,1144,43.6,27,24.5,255,34.8,27,23.7
"After hearing closed, before decision.................",24,0.7,20,0.8,0,0.0,4,0.5,0,0.0
Expedited election...................................................,2,0.1,2,0.1,0,0.0,0,0.0,0,0.0
Regional Director-directed election........................,217,6.3,204,7.8,3,2.7,10,1.4,11,9.6
Board-directed election...........................................,117,3.4,101,3.9,1,0.9,15,2.0,1,0.9
"By withdrawal, total..............................................................",1270,36.6,904,34.5,54,49.1,312,42.6,52,45.6
Before notice of hearing...............................................,183,5.3,88,3.4,18,16.4,77,10.5,33,28.9
"After notice of hearing, before hearing closed.............",992,28.6,736,28.1,35,31.8,221,30.2,17,14.9
"After hearing closed, before decision...........................",30,0.9,23,0.9,1,0.9,6,0.8,1,0.9
After Regional Director's decision and direction of election...................................................................,56,1.6,48,1.8,0,0.0,8,1.1,0,0.0
After Board decision and direction of election............,9,0.3,9,0.3,0,0.0,0,0.0,1,0.9
"By dismissal, total..................................................................",148,4.3,53,2.0,19,17.3,76,10.4,4,3.5
Before notice of hearing...............................................,37,1.1,3,0.1,5,4.5,29,4.0,4,3.5
"After notice of hearing, before hearing closed.............",54,1.6,13,0.5,6,5.5,35,4.8,0,0.0
"After hearing closed, before decision...........................",2,0.1,1,0.0,0,0.0,1,0.1,0,0.0
By Regional Director's decision..................................,40,1.2,26,1.0,6,5.5,8,1.1,0,0.0
By Board decision........................................................,15,0.4,10,0.4,2,1.8,3,0.4,0,0.0
