row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Chemical Manufacturing........................................,313,267,220,41,4,1,0,0,1,40,30,1,9,1,0,5
Plastics and Rubber Products Manufacturing..........,212,172,134,36,2,0,0,0,0,38,30,0,8,2,0,0
Nonmetallic Mineral Product Manufacturing........,233,189,154,34,0,1,0,0,0,43,35,2,6,1,0,0
32-Manufacturing..............................................,1486,1259,1004,240,9,4,0,0,2,211,162,5,44,6,0,10
Primary Metal Manufacturing................................,477,446,315,123,6,0,0,0,2,29,18,1,10,1,0,1
Fabricated Metal Product Manufacturing................,384,320,249,66,4,1,0,0,0,62,36,5,21,2,0,0
Machinery Manufacturing......................................,328,287,213,68,5,0,0,0,1,37,27,1,9,1,0,3
Computer and Electronic Product Manufacturing..,69,62,45,14,2,1,0,0,0,6,5,1,0,0,0,1
"Electrical Equipment, Appliance and Component Manufacturing........................................................",254,232,177,47,5,1,0,0,2,22,10,1,11,0,0,0
Transportation Equipment Manufacturing..............,1267,1176,751,418,2,1,0,3,1,82,55,3,24,4,0,5
Furniture and Related Product Manufacturing........,98,82,67,14,0,0,1,0,0,16,9,1,6,0,0,0
Miscellaneous Manufacturing................................,527,443,339,98,4,1,0,0,1,76,57,1,18,4,0,4
33-Manufacturing..............................................,3404,3048,2156,848,28,5,1,3,7,330,217,14,99,12,0,14
"Wholesale Trade, Durable Goods............................",255,205,150,48,6,1,0,0,0,47,37,2,8,2,0,1
"Wholesale Trade, Nondurable Goods......................",421,333,249,73,7,2,1,0,1,79,56,4,19,0,0,9
Wholesale Trade................................................,676,538,399,121,13,3,1,0,1,126,93,6,27,2,0,10
Motor Vehicle and Parts Dealers............................,261,191,166,20,3,0,0,0,2,68,52,3,13,0,0,2
Furniture and Home Furnishings Stores..................,29,26,24,2,0,0,0,0,0,3,2,0,1,0,0,0
Electronics and Appliance Stores............................,12,7,7,0,0,0,0,0,0,5,4,0,1,0,0,0
Building Material and Garden Equipment and Supplies Dealers......................................................,56,39,32,6,1,0,0,0,0,16,10,2,4,0,0,1
Food and Beverage Stores......................................,668,583,376,198,3,0,1,0,5,81,53,8,20,0,0,4
Health and Personal Care Stores............................,90,65,42,22,1,0,0,0,0,23,18,1,4,1,0,1
Gasoline Stations....................................................,7,6,4,2,0,0,0,0,0,1,1,0,0,0,0,0
Clothing and Clothing Accessories Stores..............,40,34,24,,1,1,0,0,1,6,5,0,1,0,0,
,,,,7,,,,,,,,,,,,0
