row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
Total number of cases closed...............................,23308,100.0,,17001,100.0,5749,100.0,322,100.0,118,100.0,37,100.0,35,100.0,46,100.0
Agreement of the parties......................................,8379,35.9,100.0,7203,42.4,1015,17.7,105,32.6,11,9.3,11,29.7,14,40.0,20,43.5
Informal settlement.....................................,8347,35.8,99.6,7173,42.2,1014,17.6,104,32.3,11,9.3,11,29.7,14,40.0,20,43.5
Before issuance of complaint...............,6928,29.7,82.7,5898,34.7,883,15.4,94,29.2,11,9.3,10,27.0,14,40.0,18,39.1
"After issuance of complaint, before opening of hearing.......................... After hearing opened, before issuance",1361,5.8,16.2,1218,7.2,130,2.3,10,3.1,0,0.0,1,2.7,0,0.0,2,4.3
of administrative law judge's decision...........................................,58,0.2,0.7,57,0.3,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Formal settlement........................................,32,0.1,0.4,30,0.2,1,0.0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0
Before opening of hearing...................,7,0.0,0.1,5,0.0,1,0.0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated decision........................,5,0.0,0.1,3,0.0,1,0.0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0
Consent decree..............................,2,0.0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
After hearing opened...........................,25,0.1,0.3,25,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated decision........................,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Consent decree..............................,25,0.1,0.3,25,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Compliance with...................................................,740,3.2,100.0,652,3.8,53,0.9,30,9.3,0,0.0,2,5.4,0,0.0,3,6.5
Administrative law judge's decision...........,1,0.0,0.1,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Board decision............................................,456,2.0,61.6,426,2.5,26,0.5,1,0.3,0,0.0,2,5.4,0,0.0,1,2.2
Adopting administrative law judge's decision (no exceptions filed).........,125,0.5,16.9,105,0.6,18,0.3,0,0.0,0,0.0,1,2.7,0,0.0,1,2.2
Contested.............................................,331,1.4,44.7,321,1.9,8,0.1,1,0.3,0,0.0,1,2.7,0,0.0,0,0.0
Circuit court of appeals decree....................,279,1.2,37.7,221,1.3,27,0.5,29,9.0,0,0.0,0,0.0,0,0.0,2,4.3
Supreme Court action..................................,4,0.0,0.5,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Withdrawal...........................................................,7553,32.4,100.0,5361,31.5,1971,34.3,146,45.3,21,17.8,17,45.9,20,57.1,17,37.0
Before issuance of complaint......................,7487,32.1,99.1,5302,31.2,1964,34.2,146,45.3,21,17.8,17,45.9,20,57.1,17,37.0
