Mode of disposition,Number of — Cases,Number of — Workers involved,Percentage of — Total cases,Percentage of — Cases closed
By withdrawal of charge or petitions,201,65211,18.8,27.2
By dismissal of petitions before hearing or refusal to issue complaint,113,21781,10.6,15.3
By transfer or consolidation,19,5915,1.8,2.6
By settlement,331,40354,31.0,44.9
By intermediate report finding no violation,6,306,.5,.8
By issuance of decisions:,,,,
Cease and desist orders,56,5514,,
Certifications,6,2474,,
Dismissal of complaints or petitions,5,2057,,
Refusal to certify,1,700,,
Total (By issuance of decisions),68,10745,6.4,9.2
Injunctions issued restraining Board from further action,44,27792,4.1,
Cases pending,286,68761,26.8,
Total (grand),1068,240865,100,100
