row_label,col_1,col_2,col_3,col_4,col_5,col_6
"All types, total:",,,,,,
Elections.................................,1651,46,1419,0,185,1
Eligible voters........................,99557,3418,77853,0,18283,3
Valid votes.............................,78736,2384,62578,0,13771,3
RC cases:,,,,,,
Elections.................................,1321,41,1133,0,147,0
Eligible voters........................,78584,3194,60530,0,14860,0
Valid votes.............................,62209,2209,48806,0,11194,0
RMcases:,,,,,,
Elections................................,17,1,10,0,5,1
Eligible voters........................,487,6,286,0,192,3
Valid votes.............................,438,5,242,0,188,3
RD cases:,,,,,,
Elections.................................,269,2,245,0,22,0
Eligible voters........................,16340,57,14593,0,1690,0
Valid votes.............................,13333,54,11942,0,1337,0
UD cases:,,,,,,
Elections.................................,44,2,31,0,11,
Eligible voters........................,4146,161,2444,0,1541,
Valid votes.............................,2756,116,1588,0,1052,
