row_label,col_1,col_2
Total number of cases closed before Issuance of complaint,313,100 0
Agreement of the parties-informal settlement,130,41 5
Before 10(k) notice,90,28 8
"After 10(k) notice, before opening of 10(k) hearing",38,121
"After opening of 113(k) hearing, before Issuance of Board decision and determination of dispute",2,06
Compliance with Board decision and determination of dispute,8,26
Withdrawal,116,37 1
Before 10(k) notice,101,32 3
"After 10(k) notice, before opening of 10(k) hearing",13,42
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",2,06
After Board decision and determination of dispute,0,00
Dismissal,59,18 8
Before 10(k) notice,40,12 7
"After 10(k) notice, before opening of 10(k) hearing",9,29
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",4,13
By Board decision and determination of dispute,6,19
