row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections__ __,9226,713,7.7,339,3.7,164,1 8,877,9 5,503,5.5
By type of case,,,,,,,,,,,
In RC cases,8354,651,7 8,311,3.7,151,1 8,802,9 6,462,5.5
In EM eases,415,42,10 1,17,4.1,8,1.9,50,12.0,25,6.0
In RD cases,457,20,4 4,11,2.4,5,1.1,25,5 5,16,3 6
By type of election,,,,,,,,,,,
Consent elections,1829,76,4.2,40,2 2,12,7,88,4.8,52,2 8
Stipulated elections,5538,433,7.8,184,3.3,103,1.9,536,9.7,287,5 2
Expedited elections,29,5,17 2,0,,0,,5,17 2,0,
Regional director-directed elections,1731,185,10 7,109,6 3,47,2.7,232,13 4,156,9.0
Board-directed elections_,99,14,14.1,6,6 1,2,2 0,16,16.2,8,8 1
