row_label,Total / Number,Total / Percent by type,By employer / Number,By employer / Percent by type,By union / Number,By union / Percent by type,By both parties / Number,By both parties / Percent by type
All representation elections,1310,100.0,537,41.0,742,56.6,31,2.4
By type of case,,,,,,,,
RC cases,1197,100.0,508,42.4,663,55.4,26,2.2
RM cases,40,100.0,12,30.0,26,65.0,2,5.0
RD cases,73,100.0,17,23.3,53,72.6,3,4.1
By type of election,,,,,,,,
Consent elections,58,100.0,27,46.5,31,53.5,,
Stipulated elections,884,100.0,357,40.4,507,57.3,20,2.3
Expedited elections,6,100.0,0,,6,100.0,,
Regional director-directed elections,346,100.0,146,42.2,190,54.9,10,2.9
Board-directed elections,16,100.0,7,43.8,8,50.0,1,6.2
