Types of formal actions taken,Cases in which formal actions taken,Formal actions taken by type of case / Total formal actions taken,Formal actions taken by type of case / RC,Formal actions taken by type of case / RM,Formal actions taken by type of case / RD,Formal actions taken by type of case / UD
"Decisions on objections and/or challenges, total",300,289,268,6,15,9
By regional directors,96,88,84,2,2,7
By Board,204,201,184,4,13,2
In stipulated elections,198,195,178,4,13,2
No exceptions to regional directors' reports,181,179,162,4,13,2
Exceptions to regional directors' reports,17,16,16,0,0,0
In directed elections (after transfer by regional director),5,5,5,0,0,0
Review of Regional directors' supplemental decisions,,,,,,
Request for review received,24,21,21,0,0,0
Withdrawn before request ruled upon,0,0,0,0,0,0
"Board action on request ruled upon, total",19,17,16,0,1,0
Granted,3,3,3,0,0,0
Denied,16,14,13,0,1,0
Remanded,0,0,0,0,0,0
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
"Board decision after review, total",1,1,1,0,0,0
Affirmed,0,0,0,0,0,0
Modified,0,0,0,0,0,0
Reversed,1,1,1,0,0,0
