row_label,col_1,col_2,col_3,col_4
I. Boston,29,25,17,23
2. New York,73,61,69,93
3. Buffalo,11,14,12,15
4. Philadelphia,28,17,14,26
5. Baltimore,21,19,19,23
6. Pittsburgh,14,12,11,12
7. Detroit,31,34,38,40
8. Cleveland,41,40,28,34
9. Cincinnati,17,13,13,16
10. Atlanta,15,12,17,20
11. Indianapolis,40,28,37,42
12. Milwaukee,8,7,5,5
13. Chicago,53,44,41,47
14. St. Louis,8,7,3,5
15. New Orleans,6,6,10,11
16. Fort Worth,4,5,10,12
17. Kansas City,9,8,7,7
18. Minneapolis,7,7,11,15
19. Seattle,25,22,25,29
20. San Francisco,24,22,18,20
21. Los Angeles,92,97,101,137
22. Denver,7,8,6,9
Board 1,1,,,
Total,664,508,512,641
