row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total.......................................................",624,589,508,12,69,6
Initial hearing....................................................................,460,431,373,8,50,1
Hearing on objections and/or challenges..........................,164,158,135,4,19,5
"Decisions issued, total............................................................",464,449,387,12,50,13
By Regional Director........................................................,407,394,341,10,43,13
Elections directed.......................................................,348,336,298,5,33,13
Dismissals on record...................................................,59,58,43,5,10,0
By Board...........................................................................,57,55,46,2,7,0
Transferred by Regional Directors for initial decision,3,3,3,0,0,0
Elections directed....................................................,0,0,0,0,0,0
Dismissals on record...............................................,2,2,2,0,0,0
Other,1,1,1,0,0,0
Review of Regional Directors' decisions:,,,,,,
Requests for review received..................................,209,208,155,20,33,2
Withdrawn before request ruled upon.....................,32,31,24,2,5,0
"Board action on request ruled upon, total...............",184,181,133,20,0,1
Granted...............................................................,42,40,31,1,8,1
Denied................................................................,129,128,95,18,15,0
Remanded..........................................................,13,13,7,1,5,0
"Withdrawn after request granted, before Board",,,,,,
review........................................................................,2,2,2,0,0,0
"Board decision after review, total.............................",54,52,43,2,7,0
Regional Directors' decisions:,,,,,,
Affirmed........................................................,14,13,10,1,2,0
Modified........................................................,9,9,8,1,0,0
Reversed........................................................,31,30,25,0,5,0
Outcome:,,,,,,
Election directed..........................................,33,32,27,1,4,0
Dismissals on record....................................,7,7,3,1,3,0
Other….…...………….…………………...,14,13,12,0,1,0
"Decisions on Objections and/or Challenges, total..................",476,454,395,7,52,15
By Regional Directors.......................................................,221,205,179,2,24,10
By Admininstrative Law Judges…………...……………,11,11,11,0,0,0
By Board............................................................................,244,238,205,5,28,5
In stipulated elections.................................................,211,206,176,5,25,4
No exceptions to Regional Directors' reports.......,98,96,80,1,15,4
Exceptions to Regional Directors' reports.............,113,110,96,4,10,0
In directed elections ( after transfer by Regional,,,,,,
Director).....................................................................,28,28,26,0,2,1
Review of Regional Directors' supplemental decisions: Request for review received...................................,24,18,16,0,2,1
Withdrawn before request ruled upon.....................,4,4,4,0,0,0
