row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Motor Vehicle and Parts Dealers..............,41,18,17,0,1,23,1210,1066,458,451,0,7,608,299
Furniture and Home Furnishings Stores..,16,5,4,1,0,11,857,667,269,229,40,0,398,162
Electronics and Appliance Stores............,5,1,1,0,0,4,215,198,34,34,0,0,164,14
Building Material and Garden Equipment and Supplies Dealers................................,3,1,1,0,0,2,36,36,17,17,0,0,19,23
Food and Beverage Stores........................,61,30,25,4,1,31,4227,3491,1527,1060,464,3,1964,1227
Health and Personal Care Stores..............,17,8,8,0,0,9,1242,1095,400,400,0,0,695,138
Gasoline Stations......................................,4,2,2,0,0,2,262,235,99,99,0,0,136,147
Clothing and Clothing Accessories Stores,4,2,2,0,0,2,314,308,248,248,0,0,60,267
44-Retail Trade....................................,151,67,60,5,2,84,8363,7096,3052,2538,504,10,4044,2277
"Sporting Goods, Hobby, Book and Music Stores........................................................",5,2,0,2,0,3,136,108,68,22,46,0,40,78
General Merchandise Stores....................,21,11,11,0,0,10,1315,1185,500,494,6,0,685,496
Miscellaneous Store Retailers..................,12,5,4,1,0,7,435,403,184,184,0,0,219,176
Nonstore Retailers....................................,5,1,1,0,0,4,147,153,56,56,0,0,97,18
45-Retail Trade....................................,43,19,16,3,0,24,2033,1849,808,756,52,0,1041,768
Air Transportation....................................,11,9,6,2,1,2,661,535,448,124,8,316,87,588
Rail Transportation..................................,2,1,1,0,0,1,197,108,51,51,0,0,57,85
Water Transportation................................,12,7,7,0,0,5,169,155,78,78,0,0,77,86
Truck Transportation................................,100,49,47,2,0,51,4408,3830,1614,1613,1,0,2216,1277
Transit and Ground Passenger Transportation..........................................,92,58,55,1,2,34,7229,5671,2989,2842,7,140,2682,4386
Pipeline Transportation............................,1,0,0,0,0,1,20,20,9,9,0,0,11,0
Scenic and Sightseeing Transportation....,1,0,0,0,0,1,91,72,33,33,0,0,39,0
Support Activities for Transportation......,51,38,29,9,0,13,1376,1192,691,654,37,0,501,831
48-Transportation................................,270,162,145,14,3,108,14151,11583,5913,5404,53,456,5670,7253
