Document,Price
Statutory Texts,
National Labor Relations Act (including War Labor Disputes Act and pertinent extracts from the 1943 amendments to the Communications Act of 1934),0.10
Rules and Regulations (including National Labor Relations Act),.15
Statutes and Congressional Reports Pertaining to the N. L. R. B.,.25
Annual Reports of the N. L. R. B.,
"Fifth Annual Report, for the fiscal year ended June 30, 1940",.20
"Sixth Annual Report, for the fiscal year ended June 30, 1941",.20
"Seventh Annual Report, for the fiscal year ended June 30, 1942",.25
"Eighth Annual Report, for the fiscal year ended June 30, 1943",.35
"Ninth Annual Report, for the fiscal year ended June 30, 1944",.20
"Tenth Annual Report, for the fiscal year ended June 30, 1945",25
"Eleventh Annual Report, for the fiscal year ended June 30, 1946",.35
Decisions and Orders of the N. L. R. B.,
"To date, 67 volumes of the Decisions and Orders of the National Labor Relations Board have been issued. They range in price from $1.25 to $3, with the exception of volume 1 which is $4",
"Table of Cases Decided, covering volumes 1-41",.30
"Digest of Decisions of the National Labor Relations Board, covering volumes 1-45",2.25
Court Documents,
"Arguments in the Cases arising under the National Labor Relations Act before the Supreme Court of the United States, February 8-11, 1937",.15
"To date, four volumes of court decisions relating to the National Labor Relations Act have been issued. They range in price from $1.25 to $2.75, and cover the period through June 30, 1944.",
Special Studies,
"The Effect of Labor Relations in the Bituminous Coal Industry upon Interstate Commerce, N. L. R. B. Division of Economic Research Bulletin No. 2; 1938",.20
"Collective Bargaining in the Newspaper Industry, N. L. R. B. Division of Economic Research Bulletin No. 3; 1938",.30
"Written Trade Agreements in Collective Bargaining, N. L. R. B. Division of Economic Research Bulletin No. 4; 1939",.35
"Studies of the Results of National Labor Relations Board Activities, a Summary of Operations Analysis, 1942-4",.20
"A Guide to the National Labor Relations Act, by Louis G. Silverberg; U. S. Department of Labor, Bulletin No. 81, 1946",.15
Documents Out of Print,
