Industrial group,All cases / Number,All cases / Percent of total,Unfair labor practice cases / Number,Unfair labor practice cases / Percent of total,Representation cases / Number,Representation cases / Percent of total
Total,9176,100.0,2573,100.0,6603,100.0
Manufacturing,7134,77.8,2038,79.2,5096,77.2
Transportation equipment,1120,12.2,357,13.9,763,11.6
Miscellaneous manufacturing,177,1.9,61,2.4,116,1.8
Agriculture and forestry,20,.2,4,.2,16,.2
Mining,371,4.0,91,3.5,280,4.2
Construction,63,.7,20,.8,43,.7
Wholesale trade,311,3.4,83,3.2,228,3.5
Retail trade,159,1.7,50,2.0,109,1.7
"Finance, insurance, and real estate",116,1.3,23,.9,93,1.4
"Transportation, communication, and other public utilities",793,8.6,209,8.1,584,8.8
Services,209,2.3,55,2.1,154,2.3
