row_label,Number of cases,Percent of cases closed,Percent of cases on docket
After Board decision,1860,17.8,14.3
Certified,1360,13.0,10.4
Stipulated election and cross check,442,4.2,3.4
Prehearing election and stipulation,94,.9,.7
Ordered election,674,6.5,5.2
Prehearing election and Board decision,150,1.4,1.1
Dismissed,422,4.0,3.3
Stipulated election and cross check,142,1.4,1.1
Ordered election,172,1.5,1.4
Prehearing election and Board decision,16,.2,.1
Without election,92,.9,.7
Withdrawn,78,.8,.6
