row_label,col_1,col_2
Total number of cases closed before issuance of complaint,527,100.0
Agreement of the parties-Informal settlement,238,45 2
Before 10(k) notice,213,40 4
"After 10(k) notice, before opening of 10(k) hearing After opening of 10 ( k) hearing, before issuance of",25,4.8
Board decision and determination of dispute,o,
Compliance with Board decision and determination of dispute,26,49
Withdrawal,191,36.2
Before 10(k) notice,174,33.0
"After 10 ( k) notice, before opening of 10(k) hearing",8,1.5
"After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",0,
After Board decision and determination of dispute,9,- iii
Dismissal,72,13.7
Before 10 ( k) notice,61,11.6
"After 10 ( k) notice, before opening of 10(k) hearing",2,.4
"After opening of 10 ( k) hearing, before issuance of Board decision and determination of dispute",o,
By Board decision and determination of dispute,9,--1-.i
