Case No.,Union and company,Date petition for injunction filed,Type of petition,Temporary restraining order — Date issued,Temporary restraining order — Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings withdrawn or dismissed,Date of Board decision and/or order
3-CC-21,"AFL-Teamster, Locals 182 and 375 (Seneca Transportation Lines).","Sept. 19, 1950",10 (l),"Sept. 19, 1950",,,,,"Jan. 22, 1951"
2-CC-25,"Milk Drivers & Dairy Employees Union, Local 392, et al. (Sheffield Farms-Sealtest Dairy, division of National Dairymen's Association, Inc.).",,10 (l),,,,,"Nov. 9, 1950",
10-CC-25,"AFL-General Drivers, Chauffeurs, Warehousemen & Helpers of America, Local 386 (Charles Goldfarb Inc.).","Oct. 19, 1950",10 (l),,,,,"Jan. 5, 1951","Nov. 28, 1950"
2-CC-22,"AFL-Retail Clerks, Local 1179 (Gamble-Skogmo, Inc.).","Nov. 28, 1950",10 (l),,,,,,"May 21, 1951"
"20-CC-17, 18",Longshoremen & Warehousemen & Sailors Union of the Pacific (Pacific Maritime Association) [petition].,"Dec. 8, 1950",10 (l),"Jan. 8, 1951","Jan. 9, 1951",,,,
2-CC-130,"Longshoremen & Warehousemen, Local 18.","Mar. 1, 1951",10 (l),,,"Mar. 8, 1951","Mar. 15, 1951",,
"2-CB-153, 143","Newspaper & Mail Deliverers Union of New York (New York Times, Inc., et al.).","Mar. 5, 1951",10 (l),,,,,"Apr. 12, 1951",
"21-CC-108, 109","AFL-Machinists, Local 389 (San Diego Employers Association, Inc.).","Apr. 16, 1951",10 (l),,,,,,"Mar. 30, 1951"
21-CC-9,"AFL-Electrical Workers, Local 1 (Carrollton Iron-Amp Co.).","Apr. 16, 1951",10 (l),,,,,,
21-CC-12,"AFL-Painters, Local 1222 (General Panel Corp.).","Apr. 19, 1951",10 (l),,,,,"May 3, 1951",
2-CD-40,National Association of Broadcast Engineers & Technicians (Teleprompter Corp.).,"Apr. 23, 1951",10 (k),,,,,,
10-CC-26,"AFL-Jobbers, Local 234 (Acousti Engineering Co.).","June 12, 1951",10 (l),,,,,,
"7-CA-1925, 2406, 2-CB-141",CIO-Brewery Workers and Anheuser-Busch.,"June 12, 1951",10 (j),,,,,,
21-CC-115,"AFL-New Furniture & Appliance Drivers, Warehousemen & Helpers Union, Local 196 (Bagshaw Sanford Carpet Co.).","June 1, 1951",10 (l),,,,,"June 12, 1951",
21-CC-114,"AFL-Teamsters, Local 942 (Royden Ice Cream Co.).","June 12, 1951",10 (l),,,,,,
17-CC-31,"AFL-Teamsters, Local 41 (Union Chevrolet Co.).","June 14, 1951",10 (l),,,,,"June 25, 1951",
