row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections,8899,717,8.1,311,3.5,100,2 2,917,10 3,511,5.7
"By type of case,",,,,,,,,,,,
In RC cases,7982,669,8 4,2138,3.6,180,2.3,849,10.6,468,5.9
In RM cases,300,26,8 7,9,3 0,10,3.3,36,12.0,19,6.3
In RD cases,617,22,3 6,14,2.3,10,1.6,32,5 2,24,3.9
"By type of election,",,,,,,,,,,,
Consent election3,903,38,4.2,16,1.8,2,0 2,40,4.4,18,2 0
Stipulated electi DOS,8228,482,7.7,194,3.1,127,2.0,609,9 8,321,5 2
Expedited elections,29,5,17 2,0,,0,,5,17 2,0,
,1614,191,11 8,77,4.8,52,3.2,243,15:1,129,8.0
Regional director-directed elections Board-directed elections,125,1,0 8,24,19.2,19,15 2,20,16.0,43,34 4
