Formal action taken,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA cases,Unfair labor practice cases / Other C cases,Representation cases
Complaints and notices of hearing issued,950,950,757,193,
Notices of hearing issued,5284,22,,22,5262
Cases heard,3285,612,505,107,2673
Intermediate reports issued,530,530,447,83,
"Decisions issued, total",3334,707,572,135,2627
Decisions and orders,584,584,479,105,
Decisions and consent orders,123,123,93,30,
Elections directed,2134,,,,2134
Rulings on objections and/or challenges in stipulated election cases,100,,,,100
Dismissals on record,393,,,,393
