row_label,col_1,col_2,col_3
Received-Closed-Pending,1,Disposition,11D
Distribution of Intake:,,Party Filing,11C
by Industry,5,Rerun Results,11E
Geographic,"6A,B",Ruled on,11B
,,Size of units,17
Court Litigation,,Types of Elections Union-Shop Deauthorization,11
Appellate Decisions,19A,Polls-Results of,12
Enforcement and Review,19,Valid Votes Cast,14
Injunction Litigation,20,Unfair Labor Practice Cases,
Miscellaneous Litigation,21,,"1, IA"
Representation and Union Deanthorization Cases General,Received-Closed-Pending,"Allegations, Types of Disposition:",2
Received-Closed-Pending,"1,1B",by Method by Stage,7
Disposition:,,Jurisdictional Dispute Cases,8
by Method,,(Before Complaint),7A
by Stage,10 9,Remedial Actions Taken,4
Formal Action Taken,38,Size of Establishment (Number of Employees),18
Processing Time,23,Processing Time,23
Elections,,Amendment of Certification and Unit Clarification,
Final Outcome,13,Cases,
Geographic Distribution,"15A,B",Received-Closed-Pending,1
Industrial Distribution,16 Disposition,by Method Formal Actions Taken,10A 3C
,,Advisory Opinions,
,,Received-Closed-Pending,22
,,Disposition by Method,22A
