row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
44-Retail Trade..................................................,1163,951,675,257,9,1,1,0,8,203,145,14,44,1,0,8
"Sporting Goods, Hobby, Book and Music Stores....",29,25,22,3,0,0,0,0,0,1,0,0,1,0,0,3
General Merchandise Stores....................................,138,119,94,23,1,0,0,0,1,17,9,0,8,2,0,0
Miscellaneous Store Retailers................................,58,46,37,7,1,0,1,0,0,12,11,0,1,0,0,0
Nonstore Retailers..................................................,29,26,19,6,0,1,0,0,0,3,1,0,2,0,0,0
45-Retail Trade..................................................,254,216,172,39,2,1,1,0,1,33,21,0,12,2,0,3
Air Transportation..................................................,36,24,20,4,0,0,0,0,0,12,11,0,1,0,0,0
Rail Transportation..................................................,28,24,22,2,0,0,0,0,0,4,3,0,1,0,0,0
Water Transportation..............................................,196,192,73,119,0,0,0,0,0,4,4,0,0,0,0,0
Truck Transportation..............................................,729,603,473,123,4,1,1,0,1,124,98,2,24,2,0,0
Transit and Ground Passenger Transportation........,630,498,372,125,1,0,0,0,0,122,99,2,21,7,0,3
Pipeline Transportation..........................................,17,13,9,4,0,0,0,0,0,4,3,0,1,0,0,0
Scenic and Sightseeing Transportation..................,28,25,20,5,0,0,0,0,0,3,2,0,1,0,0,0
Support Activities for Transportation......................,421,355,231,122,2,0,0,0,0,61,56,1,4,4,0,1
48-Transportation..............................................,2085,1734,1220,504,7,1,1,0,1,334,276,5,53,13,0,4
Postal Service..........................................................,2265,2263,1557,706,0,0,0,0,0,2,1,0,1,0,0,0
Couriers and Messengers........................................,436,352,279,73,0,0,0,0,0,84,79,0,5,0,0,0
Warehousing and Storage Facilities........................,380,295,230,60,4,1,0,0,0,84,73,0,11,0,0,1
49-Transportation..............................................,3081,2910,2066,839,4,1,0,0,0,170,153,0,17,0,0,1
Publishing Industries..............................................,264,241,194,47,0,0,0,0,0,21,11,0,10,1,0,1
Motion Picture and Sound Recording Industries....,85,69,38,27,2,2,0,0,0,16,14,0,2,0,0,0
Broadcasting and Telecommunications..................,868,765,595,167,1,2,0,0,0,99,67,0,32,3,0,1
Information Services and Data Processing Services....................................................................,67,53,42,11,0,0,0,0,0,14,12,0,2,0,0,0
Information........................................................,1284,1128,869,252,3,4,0,0,0,150,104,0,46,4,0,2
