row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Board action on request ruled upon, total.................",22,19,15,1,3,0
Granted................................................................,1,1,0,0,1,0
Denied.................................................................,19,16,13,1,2,0
Remanded...........................................................,2,2,2,0,0,0
"Withdrawn after request granted, before Board review.......................................................................",0,0,0,0,0,0
"Board decision after review, total.............................",5,4,3,0,1,0
Regional Directors' decisions:,,,,,,
Affirmed.......................................................,3,2,1,0,1,0
Modified.......................................................,0,0,0,0,0,0
Reversed.......................................................,2,2,2,0,0,0
