Stage and method,All R cases / Number of cases,All R cases / Percent of cases closed,RC cases / Number of cases,RC cases / Percent of cases closed,RM cases / Number of cases,RM cases / Percent of cases closed,RD cases / Number of cases,RD cases / Percent of cases closed
Total number of cases closed,10603,100.0,9728,100.0,482,100.0,393,100.0
"Before formal action, total",7590,71.6,6949,71.4,361,74.9,280,71.2
Adjusted,4728,,4544,,145,,39,
Consent election,3945,,3809,,99,,37,
Stipulated election,657,,626,,29,,2,
Recognition,126,,109,,17,,0,
Withdrawn,2226,,1953,,135,,138,
Dismissed,621,,439,,80,,102,
Closed otherwise,15,,13,,1,,1,
"After formal action, total",3013,28.4,2779,28.6,121,25.1,113,28.8
Before hearing,650,6.1,583,6.0,37,7.7,30,7.7
Adjusted,345,,325,,13,,7,
Consent election,233,,221,,6,,6,
Stipulated election,103,,98,,4,,1,
Recognition,9,,6,,3,,0,
Withdrawn,282,,248,,16,,18,
Dismissal,23,,10,,8,,5,
After hearing,318,3.0,296,3.1,11,2.3,11,2.8
Adjusted,190,,180,,6,,4,
Consent election,120,,113,,4,,3,
Stipulated election,68,,66,,1,,1,
Recognition,2,,1,,1,,0,
Withdrawn,114,,107,,1,,6,
Dismissal,14,,9,,4,,1,
After Board decision,2045,19.3,1900,19.5,73,15.1,72,18.3
Board-ordered election,1604,,1519,,36,,49,
Dismissal without election,290,,232,,37,,21,
Withdrawn,137,,136,,0,,1,
Stipulated election and post-election hearing and decision,14,,13,,0,,1,
