Industrial group,All cases,All C (ULP cases total),All R (Representation cases total),"Other (Decert, Amendment, UC; not parsed)"
Ordnance and accessories,76,12,61,
Food and kindred products,1210,428,743,
Tobacco manufacturers,20,10,9,
Textile mill products,448,286,159,
Apparel and other finished products made from fabrics and similar materials,860,423,432,
Lumber and wood products (except furniture),811,266,549,
Furniture and fixtures,481,207,276,
Paper and allied products,713,470,245,
"Printing, publishing, and allied industries",672,365,300,
Chemicals and allied products,1008,548,455,
Products of petroleum and coal,168,108,58,
Rubber and plastic products,761,465,279,
Leather and leather products,165,99,57,
"Stone, clay, and glass products",545,300,237,
Primary metal industries,1304,879,414,
Fabricated metal products (except machinery and transportation equipment),1324,775,534,
Machinery (except electrical),1798,1012,761,
"Electrical machinery, equipment, and supplies",1311,870,433,
Aircraft and parts,230,228,84,
Ship and boat building and repairing,151,106,42,
Railroads and other transportation equipment,1264,682,569,
"Professional, scientific, and controlling instruments",213,143,70,
Miscellaneous Manufacturing,927,603,322,
Manufacturing (total),18129,11569,6267,
Metal mining,72,33,37,
Coal mining,183,131,50,
Crude petroleum and natural gas production,36,15,20,
