row_label,Total,Identification of filing party / AFL-CIO Unions,Identification of filing party / Other National Unions,Identification of filing party / Other local Unions,Identification of filing party / Individuals,Identification of filing party / Employers
All Cases,,,,,,
"Pending October 1, 2006",14398,5001,4036,500,4257,604
Received fiscal 2007,25649,6950,6683,851,9983,1182
On docket fiscal 2007,40047,11951,10719,1351,14240,1786
Closed fiscal 2007,26727,7387,7228,905,10089,1118
"Pending September 30, 2007",13320,4564,3491,446,4151,668
Unfair labor practice cases,,,,,,
"Pending October 1, 2006",13123,4668,3534,416,3969,536
Received fiscal 2007,22331,5914,5479,680,9226,1032
On docket fiscal 2007,35454,10582,9013,1096,13195,1568
Closed fiscal 2007,23130,6298,5848,707,9295,982
"Pending September 30, 2007",12324,4284,3165,389,3900,586
Representation cases,,,,,,
"Pending October 1, 2006",1157,310,484,73,248,42
Received fiscal 2007,3056,991,1156,158,659,92
On docket fiscal 2007,4213,1301,1640,231,907,134
Closed fiscal 2007,3332,1047,1333,180,685,87
"Pending September 30, 2007",881,254,307,51,222,47
Union-shop deauthorization cases,,,,,,
"Pending October 1, 2006",38,,,,38,
Received fiscal 2007,94,,,,94,
On docket fiscal 2007,132,,,,132,
Closed fiscal 2007,103,,,,103,
"Pending September 30, 2007",29,,,,29,
Amendment of certification cases,,,,,,
"Pending October 1, 2006",5,0,3,0,0,2
Received fiscal 2007,6,0,3,3,0,0
On docket fiscal 2007,11,0,6,3,0,2
Closed fiscal 2007,7,0,2,3,0,2
"Pending September 30, 2007",4,0,4,0,0,0
Unit clarification cases,,,,,,
"Pending October 1, 2006",75,23,15,11,2,24
Received fiscal 2007,162,45,45,10,4,58
On docket fiscal 2007,237,68,60,21,6,82
Closed fiscal 2007,155,42,45,15,6,47
"Pending September 30, 2007",82,26,15,6,0,35
