Case stage / type,ULP — Total,ULP — AFL-CIO affiliates,ULP — Unaffiliated unions,ULP — Individuals,ULP — Employers,Rep — Total,Rep — AFL-CIO affiliates,Rep — Unaffiliated unions,Rep — Individuals,Rep — Employers
— Part 1 (source p.274) —,,,,,,,,,,
Case stage / type,ULP — Total,ULP — AFL-CIO affiliates,ULP — Unaffiliated unions,ULP — Individuals,ULP — Employers,Rep — Total,Rep — AFL-CIO affiliates,Rep — Unaffiliated unions,Rep — Individuals,Rep — Employers
"Pending July 1, 1961 (CA / RC)",2935,1310,543,1008,2,2075,1206,769,1,99
Received fiscal 1962 (CA / RC),9233,4172,1516,3530,15,9704,6034,3656,1,11
On docket fiscal 1962 (CA / RC),12168,5482,2061,4628,15,11782,7240,4425,2,115
Closed fiscal 1962 (CA / RC),8910,3784,1455,3658,13,9960,6103,3842,13,2
"Pending June 30, 1962 (CA / RC)",3276,1696,606,1018,4,1822,1237,583,2,
"Pending July 1, 1961 (CB / RM)",970,33,22,747,168,196,,,,196
Received fiscal 1962 (CB / RM),2389,84,65,1786,454,884,,,,884
On docket fiscal 1962 (CB / RM),3359,118,86,2545,622,1080,,,,1080
Closed fiscal 1962 (CB / RM),2628,85,56,2034,430,921,,,,921
"Pending June 30, 1962 (CB / RM)",728,35,30,491,192,159,,,,159
"Pending July 1, 1961 (CC / RD)",298,8,5,20,265,135,,,135,
Received fiscal 1962 (CC / RD),1076,11,11,57,997,698,2,3,693,
On docket fiscal 1962 (CC / RD),1374,19,16,77,1262,833,2,3,828,
Closed fiscal 1962 (CC / RD),1027,18,13,73,925,755,2,3,750,
"Pending June 30, 1962 (CC / RD)",347,1,3,15,328,78,,,78,
— Part 2 (source p.275) —,,,,,,,,,,
Case stage / type,Total,AFL-CIO affiliates,Unaffiliated unions,Individuals,Employers,,,,,
"Pending July 1, 1961",103,2,1,2,98,,,,,
Received fiscal 1962,319,18,16,19,266,,,,,
On docket fiscal 1962,422,20,17,21,364,,,,,
Closed fiscal 1962,308,17,16,20,255,,,,,
"Pending June 30, 1962",114,3,1,1,109,,,,,
"Pending July 1, 1961",30,3,0,2,25,,,,,
Received fiscal 1962,50,2,0,5,43,,,,,
On docket fiscal 1962,80,5,0,7,68,,,,,
Closed fiscal 1962,45,1,0,6,38,,,,,
"Pending June 30, 1962",35,4,0,1,30,,,,,
"Pending July 1, 1961",108,1,1,2,104,,,,,
Received fiscal 1962,404,3,1,7,393,,,,,
On docket fiscal 1962,512,4,2,9,497,,,,,
Closed fiscal 1962,398,4,2,4,388,,,,,
"Pending June 30, 1962",114,0,0,5,109,,,,,
