row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
Total RC elections................................,96013,38818,14540,19375,4903,10414,16807,8250,7762,795,29974
C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases
AFL-CIO..................................................,1340,211,211,,,120,400,400,,,609
Other national unions..............................,1285,17,,17,,9,491,,491,,768
1-union elections..................................,2625,228,211,17,0,129,891,400,491,0,1377
National v. Local......................................,5,5,0,5,0,0,0,,,,
AFL-CIO v. National..............................,92,92,37,55,0,0,0,,,,
2-union elections..................................,97,97,37,60,0,0,0,0,0,0,0
National v. National v. National v. National....................................................,216,144,0,144,0,72,0,,,,
3 (or more)-union elections..................,216,144,0,144,0,72,0,0,0,0,0
Total RMelections..............................,2938,469,248,221,0,201,891,400,491,0,1377
D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases
Other national unions..............................,10735,3897,,3897,,2217,1416,,1416,,3205
Other local unions....................................,801,430,,,430,203,44,,,44,124
AFL-CIO..................................................,8844,2113,2113,,,1489,1847,1847,,,3395
1-union elections..................................,20380,6440,2113,3897,430,3909,3307,1847,1416,44,6724
National v. Local......................................,437,437,0,256,181,0,0,,,,
National v. National................................,48,48,0,48,0,0,0,,,,
AFL-CIO v. AFL-CIO............................,41,0,,,,,10,10,0,0,31
AFL-CIO v. Local....................................,40,40,28,0,12,0,0,,,,
Local v. Local..........................................,2833,2790,0,0,2790,43,0,,,,
2-union elections..................................,3399,3315,28,304,2983,43,10,10,0,0,31
Total RD elections..............................,23779,9755,2141,4201,3413,3952,3317,1857,1416,44,6755
