row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
All representation elections.............................................,147,57,90,83,92.2,7,7.8
By type of case:,,,,,,,
RC cases.................................................................,122,47,75,69,92.0,6,8.0
RMcases................................................................,2,1,1,1,100.0,0,0.0
RD cases.................................................................,23,9,14,13,92.9,1,7.1
By type of election:,,,,,,,
Consent elections....................................................,3,3,0,0,0.0,0,0.0
Stipulated elections.................................................,69,43,26,24,92.3,2,7.7
Expedited elections.................................................,0,0,0,0,0.0,0,0.0
Regional Director-directed elections......................,75,11,64,59,92.2,5,7.8
Board-directed elections.........................................,0,0,0,0,0.0,0,0.0
