row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total......................................................",835,773,697,13,63,0
Initial hearing......................................................................,661,612,552,11,49,0
Hearing on objections and/or challenges............................,174,161,145,2,14,0
"Decisions issued, total............................................................",670,623,547,30,46,9
By Regional Director..........................................................,609,566,496,27,43,9
Elections directed..........................................................,496,468,437,6,25,9
Dismissals on record....................................................,113,98,59,21,18,0
By Board............................................................................,61,57,51,3,3,0
Transferred by Regional Directors for initial decision.,0,0,0,0,0,0
Elections directed...................................................,0,0,0,0,0,0
Dismissals on record..............................................,0,0,0,0,0,0
Review of Regional Directors' decisions:,,,,,,
Requests for review received..................................,319,304,251,16,37,1
Withdrawn before request ruled upon....................,20,19,18,1,0,0
"Board action on request ruled upon, total..............",287,271,230,11,30,1
Granted..............................................................,43,40,33,3,4,0
Denied..............................................................,239,227,196,7,24,1
Remanded........................................................,5,4,1,1,2,0
"Withdrawn after request granted, before Board review......................................................................",4,3,3,0,0,0
"Board decision after review, total..........................",61,57,51,3,3,0
Regional Directors' decisions:,,,,,,
Affirmed......................................................,26,26,23,2,1,0
Modified......................................................,5,5,5,0,0,0
Reversed......................................................,30,26,23,1,2,0
Outcome:,,,,,,
Election directed........................................,50,47,44,1,2,0
