row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections................................,3085,143,4.6,34,1.1,9,0.3,152,4.9,43,1.4
By type of cases:,,,,,,,,,,,
In RC cases................................................,2591,120,4.6,30,1.2,8,0.3,128,4.9,38,1.5
In RMcases..............................................,60,2,3.3,1,1.7,0,0.0,2,3.3,1,1.7
In RD cases...............................................,434,21,4.8,3,0.7,1,0.2,22,5.1,4,0.9
By type of election:,,,,,,,,,,,
Consent elections......................................,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated elections...................................,2568,46,1.8,17,0.7,3,0.1,49,1.9,20,0.8
Expedited elections...................................,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections........,511,97,19.0,17,3.3,6,1.2,103,20.2,23,4.5
Board-directed elections...........................,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
