row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Maine..............................................,5,4,2,2,0,1,452,408,242,46,196,0,166,439
Massachusetts.................................,43,30,12,15,3,13,1491,1195,715,332,355,28,480,933
New Hampshire..............................,9,7,1,6,0,2,542,459,301,56,243,2,158,470
Rhode Island...................................,11,6,1,5,0,5,557,476,227,59,168,0,249,310
Vermont..........................................,4,2,0,2,0,2,380,339,176,0,176,0,163,194
New England.............................,124,84,25,55,4,40,9040,7470,4449,2035,2291,123,3021,6960
Alaska.............................................,13,11,6,4,1,2,281,245,182,50,121,11,63,255
American Samoa.............................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California........................................,195,127,43,77,7,68,17944,15034,8525,2618,5470,437,6509,12396
Federated States of Micronesia.......,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam...............................................,1,1,1,0,0,0,2,2,2,2,0,0,0,2
Hawaii.............................................,17,10,5,5,0,7,754,592,290,216,74,0,302,491
Marshall Islands..............................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands...............,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon............................................,29,19,2,17,0,10,2195,1719,1133,154,979,0,586,1548
Palau...............................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington.....................................,72,49,12,34,3,23,4088,3219,1842,270,1397,175,1377,2186
Pacific........................................,327,217,69,137,11,110,25264,20811,11974,3310,8041,623,8837,16878
Delaware.........................................,12,8,7,1,0,4,501,412,121,32,64,25,291,74
District of Columbia.......................,21,18,2,11,5,3,893,503,407,21,253,133,96,829
Florida.............................................,49,33,8,23,2,16,4233,3053,1701,405,1181,115,1352,3035
Georgia...........................................,20,11,5,6,0,9,1123,879,524,212,312,0,355,700
Maryland.........................................,40,33,12,14,7,7,3670,2453,1500,762,586,152,953,2264
North Carolina................................,18,14,6,7,1,4,3005,2528,1364,1089,243,32,1164,2138
South Carolina................................,6,5,2,3,0,1,509,426,325,180,145,0,101,482
Virginia...........................................,12,6,5,0,1,6,625,535,235,209,10,16,300,210
West Virginia..................................,11,8,7,1,0,3,233,208,126,86,40,0,82,141
South Atlantic............................,189,136,54,66,16,53,14792,10997,6303,2996,2834,473,4694,9873
Iowa................................................,26,7,3,4,0,19,1386,1256,422,122,300,0,834,110
Kansas.............................................,17,10,8,2,0,7,1371,1288,730,378,294,58,558,753
