row_label,col_1,col_2
"Total, all..........................................................................................................................",10,139
Certification amended or unit clarified....................................................................................,4,7
Before hearing................................................................................................................,4,1
By Regional Director's decision..........................................................................,4,1
By Board decision................................................................................................,0,0
After hearing..................................................................................................................,0,6
By Regional Director's decision..........................................................................,0,5
By Board decision................................................................................................,0,1
Dismissed................................................................................................................................,0,27
Before hearing................................................................................................................,0,11
By Regional Director's decision..........................................................................,0,9
By Board decision................................................................................................,0,2
After hearing..................................................................................................................,0,16
By Regional Director's decision..........................................................................,0,14
By Board decision................................................................................................,0,2
Withdrawn................................................................................................................................,6,105
Before hearing................................................................................................................,6,99
After hearing..................................................................................................................,0,6
