row_label,col_1,col_2
"Total, all..........................................................................................................................",36,217
Certification amended or unit clarified....................................................................................,6,24
Before hearing................................................................................................................,6,2
By Regional Director's decision...........................................................................,5,1
By Board decision.................................................................................................,1,1
After hearing...................................................................................................................,0,22
By Regional Director's decision...........................................................................,0,16
By Board decision.................................................................................................,0,6
Dismissed.................................................................................................................................,19,52
Before hearing................................................................................................................,18,15
By Regional Director's decision...........................................................................,18,14
By Board decision.................................................................................................,0,1
After hearing...................................................................................................................,1,37
By Regional Director's decision...........................................................................,1,33
By Board decision.................................................................................................,0,4
Withdrawn................................................................................................................................,10,141
Before hearing................................................................................................................,9,135
After hearing...................................................................................................................,1,6
